Date,Open,High,Low,Close,Volume
2023-04-18,114.39,117.21,114.3,116.94,17436140.0
2023-04-19,116.08,116.9,115.77,116.57,10682605.0
2023-04-20,115.125,115.68,113.2298,115.64,17038747.0
2023-04-21,116.49,116.88,115.26,116.01,14315329.0
2023-04-24,115.92,118.885,115.88,118.2,15812514.0
2023-04-25,117.55,117.74,115.63,116.52,12179825.0
2023-04-26,116.03,117.09,114.68,115.45,15566086.0
2023-04-27,115.62,117.01,114.8818,116.83,16279188.0
2023-04-28,117.25,119.92,116.83,118.34,24381946.0
2023-05-01,115.99,117.3,114.45,114.67,17354987.0
2023-05-02,113.94,113.94,109.29,110.1,24324102.0
2023-05-03,109.08,109.81,107.755,107.93,16212343.0
2023-05-04,107.9,108.75,105.91,106.04,17177150.0
2023-05-05,108.55,109.43,107.53,108.68,14968197.0
2023-05-08,110.5,110.97,109.04,109.11,11187752.0
2023-05-09,108.34,110.23,108.21,109.14,11370769.0
2023-05-10,109.74,110.01,106.71,107.74,14880093.0
2023-05-11,106.49,106.82,104.933,105.79,17165897.0
2023-05-12,106.31,107.01,104.775,105.78,12613254.0
2023-05-15,105.51,105.925,104.58,105.07,13715576.0
2023-05-16,104.63,104.81,102.02,102.52,14800200.0
2023-05-17,103.39,105.23,102.85,104.82,14064742.0
2023-05-18,104.55,105.91,104.13,105.77,12005609.0
2023-05-19,106.57,107.05,105.82,106.26,13359630.0
2023-05-22,105.84,107.04,104.88,104.97,12882000.0
2023-05-23,105.99,108.22,105.75,106.4,14394440.0
2023-05-24,107.38,108.51,106.73,107.59,16340293.0
2023-05-25,105.94,106.43,104.71,105.66,14316463.0
2023-05-26,106.47,106.95,104.8327,104.97,12370326.0
2023-05-30,103.29,104.12,102.61,104.04,11938025.0
2023-05-31,102.29,103.04,101.74,102.18,24926117.0
2023-06-01,101.75,105.58,101.26,103.36,13551936.0
2023-06-02,105.16,106.13,104.53,105.76,14112041.0
2023-06-05,107.19,107.29,105.09,105.29,12247530.0
2023-06-06,104.15,106.27,103.98,106.15,12209768.0
2023-06-07,106.79,108.89,106.73,108.53,16027086.0
2023-06-08,108.77,109.14,105.9,108.19,13517919.0
2023-06-09,108.455,108.61,107.16,107.39,12252531.0
2023-06-12,105.81,107.06,105.555,106.42,14115160.0
2023-06-13,107.38,108.34,106.275,106.44,13516980.0
2023-06-14,107.45,108.11,104.39,105.16,16627681.0
2023-06-15,105.5,107.03,105.44,105.89,16224117.0
2023-06-16,106.36,106.77,104.955,105.13,43128871.0
2023-06-20,104.68,104.77,102.12,102.72,17519379.0
2023-06-21,102.5,104.63,102.33,103.87,13285741.0
2023-06-22,102.84,103.885,102.65,103.3,12458807.0
2023-06-23,102.59,102.82,101.62,102.4,17933599.0
2023-06-26,102.2,104.905,102.2,104.29,14283407.0
2023-06-27,104.045,104.61,103.27,104.55,13227620.0
2023-06-28,104.305,105.82,103.2,105.4,13084062.0
2023-06-29,105.66,106.73,105.13,106.7,11364436.0
2023-06-30,107.32,107.875,106.8101,107.25,13544664.0
2023-07-03,107.49,108.46,107.07,107.46,7396992.0
2023-07-05,107.63,107.92,106.1,106.91,12491205.0
2023-07-06,105.09,105.72,102.43,102.92,17964883.0
2023-07-07,101.92,104.0,101.56,103.16,21929158.0
2023-07-10,102.97,104.75,102.75,104.69,14877615.0
2023-07-11,105.26,106.16,104.81,105.97,12581080.0
2023-07-12,107.0,107.65,106.13,106.49,13238236.0
2023-07-13,105.97,106.23,103.32,104.54,26826838.0
2023-07-14,104.05,104.05,100.53,100.94,28151920.0
2023-07-17,100.72,101.665,100.22,101.38,18055849.0
2023-07-18,100.92,102.2,100.34,100.92,24617795.0
2023-07-19,101.05,102.4,100.8,101.62,15556541.0
2023-07-20,102.535,103.66,102.36,103.41,15740202.0
2023-07-21,104.16,104.38,103.26,103.89,17121487.0
2023-07-24,104.36,106.16,103.96,105.52,15090859.0
2023-07-25,105.06,106.0901,104.54,105.68,14116084.0
2023-07-26,105.11,105.72,104.6391,105.09,15159624.0
2023-07-27,106.0,106.99,104.74,105.42,17677887.0
