Date,Open,High,Low,Close,Volume
2023-04-18,364.35,364.35,358.43,362.06,278118.0
2023-04-19,361.47,367.8,359.02,367.64,310579.0
2023-04-20,361.65,365.11,359.61,361.41,588395.0
2023-04-21,363.18,366.99,362.865,365.88,244756.0
2023-04-24,368.29,372.06,366.43,371.97,271853.0
2023-04-25,368.57,368.625,356.29,357.0,503176.0
2023-04-26,356.06,360.51,352.89,357.23,465091.0
2023-04-27,355.0,360.6,341.5,355.22,946941.0
2023-04-28,356.79,368.24,356.4,361.24,1032610.0
2023-05-01,361.68,368.06,360.856,366.13,380548.0
2023-05-02,365.98,370.64,364.475,369.62,421334.0
2023-05-03,373.5,376.72,368.17,368.43,425253.0
2023-05-04,368.5,371.045,365.07,369.17,258725.0
2023-05-05,371.62,371.97,363.08,368.46,269896.0
2023-05-08,365.19,368.38,363.72,367.08,344260.0
2023-05-09,363.64,365.84,360.84,361.73,353041.0
2023-05-10,365.66,366.66,361.02,362.72,308572.0
2023-05-11,362.0,363.87,357.42,360.1,510050.0
2023-05-12,360.28,361.32,356.28,360.02,410346.0
2023-05-15,359.91,361.555,354.76,355.18,436923.0
2023-05-16,355.18,355.935,351.47,354.56,340888.0
2023-05-17,355.06,357.08,345.645,348.06,384526.0
2023-05-18,348.23,351.64,344.4875,350.74,256063.0
2023-05-19,352.59,356.54,351.28,351.39,254492.0
2023-05-22,350.43,354.575,349.6,350.92,407018.0
2023-05-23,349.44,352.04,341.64,342.81,440633.0
2023-05-24,338.7,342.215,334.675,340.65,508438.0
2023-05-25,341.7,341.76,338.85,340.2,296819.0
2023-05-26,341.97,346.14,340.03,343.5,340992.0
2023-05-30,343.05,344.7506,336.09,336.35,474139.0
2023-05-31,335.83,336.78,330.16,334.63,1150073.0
2023-06-01,334.72,341.63,333.71,341.53,491255.0
2023-06-02,342.69,343.93,339.99,343.73,385924.0
2023-06-05,343.43,348.88,343.25,343.4,445396.0
2023-06-06,343.5,347.975,342.08,346.19,349948.0
2023-06-07,345.23,348.87,343.72,344.72,279056.0
2023-06-08,343.84,349.91,341.57,349.75,368565.0
2023-06-09,350.52,350.9999,347.82,348.28,266371.0
2023-06-12,349.47,357.97,347.26,357.39,329254.0
2023-06-13,356.84,359.89,355.285,357.82,311068.0
2023-06-14,358.63,361.27,353.03,354.69,278226.0
2023-06-15,352.95,361.3,351.93,359.8,422916.0
2023-06-16,366.83,374.45,361.65,362.04,1129652.0
2023-06-20,357.17,366.985,356.64,366.11,429145.0
2023-06-21,364.09,370.49,364.02,368.9,338830.0
2023-06-22,371.52,375.0,367.325,368.67,241556.0
2023-06-23,365.8,370.12,364.875,367.0,606621.0
2023-06-26,367.09,367.265,362.41,365.07,341315.0
2023-06-27,366.53,369.64,363.06,369.34,323475.0
2023-06-28,368.5,372.65,366.58,369.21,268714.0
2023-06-29,368.0,377.42,366.32,377.36,258089.0
2023-06-30,380.11,387.13,378.745,382.47,355193.0
2023-07-03,379.23,380.03,373.8901,378.33,154776.0
2023-07-05,376.66,382.2,374.88,377.03,260824.0
2023-07-06,373.53,376.64,370.965,373.23,300926.0
2023-07-07,371.5,373.2282,368.79,371.6,330567.0
2023-07-10,373.46,379.845,372.35,377.3,278457.0
2023-07-11,379.02,380.5,373.26,375.34,219905.0
2023-07-12,379.02,384.15,375.52,383.52,272703.0
2023-07-13,385.95,389.39,382.39,383.66,224692.0
2023-07-14,383.39,387.52,382.98,385.13,194513.0
2023-07-17,385.19,385.75,380.39,383.62,148088.0
2023-07-18,383.74,385.3,379.1,384.59,314033.0
2023-07-19,383.62,386.82,381.635,385.62,254084.0
2023-07-20,385.92,386.76,378.405,378.75,237770.0
2023-07-21,379.94,385.5,376.94,377.32,845075.0
2023-07-24,375.38,378.77,374.08,376.06,332182.0
2023-07-25,373.51,383.555,373.0,377.13,333432.0
2023-07-26,374.43,379.59,369.04,379.42,356970.0
2023-07-27,375.31,375.42,350.59,354.9,1021924.0
2023-07-28,358.85,367.0,355.83,365.46,499702.0
2023-07-31,365.9,368.31,363.0,368.04,574287.0
2023-08-01,366.87,372.975,365.02,371.66,443474.0
2023-08-02,369.46,371.095,366.0,370.58,420275.0
2023-08-03,369.93,372.05,368.27,369.72,302425.0
2023-08-04,370.82,376.725,368.71,375.07,383082.0
2023-08-07,376.47,380.065,374.47,378.7,259616.0
2023-08-08,392.1,399.96,387.6,399.87,793198.0
2023-08-09,396.54,400.95,396.47,400.15,357445.0
2023-08-10,402.0,408.565,399.37,400.25,349015.0
2023-08-11,397.79,399.99,394.08,394.74,281997.0
2023-08-14,394.78,400.07,393.36,399.89,353077.0
2023-08-15,400.8,404.07,398.43,402.13,263035.0
2023-08-16,401.37,402.98,397.47,397.49,265160.0
2023-08-17,399.12,401.46,392.02,392.87,299322.0
2023-08-18,389.71,391.37,386.38,387.77,307292.0
2023-08-21,389.9,393.29,387.833,392.68,369775.0
2023-08-22,393.34,396.35,390.075,393.18,340777.0
2023-08-23,395.33,396.1,392.02,393.07,543229.0
2023-08-24,393.38,397.98,391.62,391.72,280469.0
2023-08-25,391.91,395.655,388.55,393.73,329693.0
2023-08-28,395.21,403.55,395.21,403.37,218574.0
2023-08-29,402.68,412.55,401.89,412.41,267948.0
2023-08-30,414.65,415.73,408.8,409.12,309560.0
2023-08-31,408.97,411.53,406.685,406.9,428295.0
2023-09-01,410.41,410.41,404.6575,407.69,257982.0
2023-09-05,406.42,406.655,402.69,403.67,264008.0
2023-09-06,404.02,406.14,400.52,404.85,394845.0
2023-09-07,405.29,406.05,401.92,403.86,230230.0
2023-09-08,403.32,403.32,391.99,393.16,304258.0
2023-09-11,393.76,400.145,392.37,397.15,210258.0
2023-09-12,394.66,396.385,390.69,393.82,239364.0
