Date,Open,High,Low,Close,Volume
2024-06-07 04:00:00,0.07,0.11,0.0375,0.0795,119801
2024-06-10 04:00:00,0.151,0.19,0.12,0.1349,257836
2024-06-11 04:00:00,0.16,0.16,0.085,0.121,314111
2024-06-12 04:00:00,0.1201,0.13,0.091,0.1,98035
2024-06-13 04:00:00,0.1002,0.1099,0.08,0.0995,63193
2024-06-14 04:00:00,0.1092,0.1095,0.07,0.0751,127896
2024-06-17 04:00:00,0.07,0.1085,0.0425,0.0584,557055
2024-06-18 04:00:00,0.0583,0.071171,0.0422,0.0501,282695
2024-06-20 04:00:00,0.0599,0.062142,0.042,0.0453,179691
2024-06-21 04:00:00,0.055,0.058,0.0453,0.051,211352
2024-06-24 04:00:00,0.0596,0.0657,0.0406,0.0508,384346
2024-06-25 04:00:00,0.0596,0.0648,0.0482,0.0542,333339
2024-06-26 04:00:00,0.0599,0.0599,0.0421,0.0549,277702
2024-06-27 04:00:00,0.055,0.0596,0.0444,0.05,133142
2024-06-28 04:00:00,0.0568,0.0598,0.0466,0.0505,141967
2024-07-01 04:00:00,0.058,0.05979,0.05,0.056,131041
2024-07-02 04:00:00,0.057,0.0587,0.049,0.0506,167808
2024-07-03 04:00:00,0.0575,0.0577,0.0401,0.0508,63631
2024-07-05 04:00:00,0.0546,0.055,0.0452,0.0534,119935
2024-07-08 04:00:00,0.0623,0.0623,0.0534,0.0586,92896
2024-07-09 04:00:00,0.0569,0.0569,0.0446,0.0476,53148
2024-07-10 04:00:00,0.0555,0.0573,0.042,0.0545,160271
2024-07-11 04:00:00,0.0474,0.0576,0.0474,0.0501,179211
2024-07-12 04:00:00,0.0599,0.0599,0.0471,0.0568,81171
2024-07-15 04:00:00,0.057,0.0573,0.0464,0.0514,71824
2024-07-16 04:00:00,0.0559,0.0613,0.0487,0.059,126828
2024-07-17 04:00:00,0.0585,0.0626,0.0501,0.0589,92297
2024-07-18 04:00:00,0.0531,0.0622,0.0531,0.0544,46141
2024-07-19 04:00:00,0.0569,0.058899,0.0502,0.051,41540
2024-07-22 04:00:00,0.0401,0.0586,0.0401,0.049,38528
2024-07-23 04:00:00,0.0526,0.0526,0.0405,0.0424,53574
2024-07-24 04:00:00,0.0433,0.0433,0.03,0.0318,184893
2024-07-25 04:00:00,0.0446,0.0486,0.0321,0.0396,90103
2024-07-26 04:00:00,0.0356,0.0458,0.0356,0.0435,39145
2024-07-29 04:00:00,0.0433,0.0435,0.0371,0.041855,29590
2024-07-30 04:00:00,0.0366,0.0462,0.0366,0.0437,22691
2024-07-31 04:00:00,0.0366,0.0435,0.0363,0.041288,29414
2024-08-01 04:00:00,0.0376,0.0446,0.0376,0.038,10141
2024-08-02 04:00:00,0.0385,0.0436,0.0333,0.0333,57262
2024-08-05 04:00:00,0.0302,0.0415,0.0253,0.0398,81055
2024-08-06 04:00:00,0.0389,0.0389,0.0271,0.0312,61612
2024-08-07 04:00:00,0.0277,0.035,0.0275,0.028,51283
2024-08-08 04:00:00,0.0336,0.0336,0.0285,0.0316,16722
2024-08-09 04:00:00,0.032377,0.036638,0.0285,0.0331,19488
2024-08-12 04:00:00,0.0311,0.0367,0.026693,0.027,49629
2024-08-13 04:00:00,0.0316,0.0371,0.027,0.037,45145
2024-08-14 04:00:00,0.0397,0.0397,0.0276,0.032,9113
2024-08-15 04:00:00,0.03,0.051554,0.0274,0.051554,54275
2024-08-16 04:00:00,0.05,0.051,0.031,0.0473,60372
2024-08-19 04:00:00,0.0462,0.0532,0.031,0.0473,254408
2024-08-20 04:00:00,0.0455,0.0469,0.0344,0.0352,20654
2024-08-21 04:00:00,0.0355,0.0526,0.0354,0.0399,33597
2024-08-22 04:00:00,0.0399,0.0495,0.0355,0.0462,35074
2024-08-23 04:00:00,0.0366,0.045799,0.0366,0.0445,8622
2024-08-26 04:00:00,0.0368,0.0686,0.0368,0.0468,209553
2024-08-27 04:00:00,0.041,0.055,0.0378,0.051,82558
2024-08-28 04:00:00,0.0414,0.05,0.0402,0.0406,27005
2024-08-29 04:00:00,0.0413,0.05262,0.0412,0.05262,68380
2024-08-30 04:00:00,0.039,0.06,0.039,0.047,48365
2024-09-03 04:00:00,0.0424,0.0689,0.0424,0.0528,284291
2024-09-04 04:00:00,0.0686,0.07,0.0464,0.058,58064
2024-09-05 04:00:00,0.0479,0.0598,0.041,0.0545,67029
2024-09-06 04:00:00,0.0566,0.0566,0.0422,0.0514,5063
2024-09-09 04:00:00,0.0402,0.055,0.0402,0.0407,21407
2024-09-10 04:00:00,0.047,0.0546,0.041,0.044103,10014
2024-09-11 04:00:00,0.05,0.0546,0.0411,0.051152,3158
2024-09-12 04:00:00,0.0414,0.0506,0.0414,0.04655,1893
2024-09-13 04:00:00,0.0469,0.052,0.0465,0.04925,7957
2024-09-16 04:00:00,0.0414,0.0492,0.041,0.0415,6912
2024-09-17 04:00:00,0.041,0.057,0.0401,0.045,59180
2024-09-18 04:00:00,0.043919,0.0501,0.0368,0.037,58353
2024-09-19 04:00:00,0.04,0.0443,0.037,0.0443,16651
2024-09-20 04:00:00,0.0401,0.0401,0.0382,0.0401,15265
2024-09-23 04:00:00,0.0401,0.0401,0.036798,0.0382,10879
2024-09-24 04:00:00,0.0441,0.0441,0.0366,0.04,36998
2024-09-25 04:00:00,0.0369,0.038301,0.0357,0.0357,7068
2024-09-26 04:00:00,0.0358,0.036247,0.0301,0.036247,11434
2024-09-27 04:00:00,0.0357,0.0362,0.03,0.03,10231
2024-09-30 04:00:00,0.044,0.044,0.0303,0.0335,9532
2024-10-01 04:00:00,0.044,0.044,0.0305,0.041723,14917
2024-10-02 04:00:00,0.0424,0.044,0.0332,0.0354,10297
2024-10-03 04:00:00,0.0436,0.044,0.0354,0.037249,18096
2024-10-04 04:00:00,0.0357,0.0555,0.0305,0.0432,36927
2024-10-07 04:00:00,0.0389,0.048,0.0326,0.0472,9173
2024-10-08 04:00:00,0.0334,0.046,0.0331,0.04439,10190
2024-10-09 04:00:00,0.0305,0.0449,0.0305,0.03601,11618
2024-10-10 04:00:00,0.044567,0.048,0.035,0.035,3890
2024-10-11 04:00:00,0.0555,0.0555,0.0355,0.0355,1401
2024-10-14 04:00:00,0.0511,0.0596,0.0365,0.0402,68785
2024-10-15 04:00:00,0.035,0.058,0.0342,0.0343,90526
2024-10-16 04:00:00,0.056,0.0567,0.0351,0.0393,52346
2024-10-17 04:00:00,0.05139,0.05139,0.0403,0.0403,2554
2024-10-18 04:00:00,0.047,0.047,0.0388,0.0388,8576
2024-10-21 04:00:00,0.0336,0.040252,0.0336,0.0372,753
2024-10-22 04:00:00,0.0443,0.0555,0.0336,0.0408,36167
2024-10-24 04:00:00,0.0412,0.0412,0.0355,0.0366,8378
2024-10-25 04:00:00,0.0441,0.0445,0.0384,0.0384,3567
2024-10-28 04:00:00,0.0375,0.0581,0.0352,0.0415,33571
2024-10-29 04:00:00,0.0415,0.053699,0.04,0.043163,17569
2024-10-30 04:00:00,0.0548,0.0548,0.0353,0.0497,35386
2024-10-31 04:00:00,0.0378,0.053,0.0352,0.0475,50122
2024-11-01 04:00:00,0.0375,0.0464,0.0372,0.043101,1765
2024-11-04 05:00:00,0.0512,0.0512,0.0512,0.0512,112
2024-11-05 05:00:00,0.0385,0.041,0.0382,0.0395,8997
2024-11-06 05:00:00,0.04,0.0487,0.0352,0.04,7548
2024-11-07 05:00:00,0.04,0.04,0.033,0.04,1835
2024-11-08 05:00:00,0.04,0.04,0.04,0.04,100
2024-11-11 05:00:00,0.0453,0.0453,0.0353,0.0353,1689
2024-11-12 05:00:00,0.0357,0.045,0.0306,0.0306,13779
2024-11-13 05:00:00,0.0443,0.0443,0.0342,0.0342,2187
2024-11-14 05:00:00,0.0309,0.0437,0.0306,0.0395,21844
2024-11-15 05:00:00,0.0322,0.037497,0.0322,0.0322,1465
2024-11-18 05:00:00,0.0322,0.0495,0.0306,0.0381,211200
2024-11-19 05:00:00,0.038,0.038,0.0322,0.038,14907
2024-11-20 05:00:00,0.035199,0.035199,0.0315,0.0315,20245
2024-11-21 05:00:00,0.0441,0.0441,0.0303,0.0362,6534
2024-11-22 05:00:00,0.04,0.04,0.04,0.04,2006
2024-11-25 05:00:00,0.0321,0.04,0.0321,0.04,6641
2024-11-26 05:00:00,0.0304,0.04,0.0288,0.0378,12867
2024-11-27 05:00:00,0.0327,0.04,0.0302,0.031488,40887
2024-11-29 05:00:00,0.04,0.04,0.0288,0.0378,28042
2024-12-02 05:00:00,0.04,0.04,0.032499,0.035021,1724
2024-12-03 05:00:00,0.0349,0.035,0.0321,0.035,9385
2024-12-04 05:00:00,0.032296,0.032296,0.0277,0.0306,72521
2024-12-05 05:00:00,0.0343,0.0343,0.0262,0.0262,12905
2024-12-06 05:00:00,0.033,0.0335,0.033,0.0335,475
2024-12-09 05:00:00,0.03,0.0325,0.026201,0.0324,126771
2024-12-10 05:00:00,0.0266,0.0324,0.0266,0.0323,18890
2024-12-11 05:00:00,0.0323,0.0324,0.027957,0.028,48687
2024-12-12 05:00:00,0.02745,0.0327,0.0268,0.0327,16708
2024-12-13 05:00:00,0.0268,0.0299,0.0268,0.0299,2347
2024-12-16 05:00:00,0.0271,0.0299,0.0268,0.029,6787
2024-12-17 05:00:00,0.0268,0.0268,0.0266,0.0266,20001
2024-12-18 05:00:00,0.027761,0.027761,0.0248,0.0249,26904
2024-12-19 05:00:00,0.0316,0.0317,0.029235,0.029235,6886
2024-12-20 05:00:00,0.029,0.029,0.029,0.029,315
2024-12-23 05:00:00,0.0298,0.0307,0.021,0.0292,21804
2024-12-26 05:00:00,0.03,0.03,0.029,0.029,11253
2024-12-27 05:00:00,0.0231,0.0293,0.0223,0.028969,30313
2024-12-30 05:00:00,0.0294,0.0327,0.0232,0.0327,113652
2024-12-31 05:00:00,0.0239,0.03,0.0237,0.0296,36163
2025-01-02 05:00:00,0.028701,0.030201,0.0233,0.0295,75422
2025-01-03 05:00:00,0.0296,0.043,0.021,0.043,99983
2025-01-06 05:00:00,0.03,0.042,0.03,0.0384,21715
2025-01-07 05:00:00,0.032,0.0384,0.0306,0.0306,8052
2025-01-08 05:00:00,0.04,0.04,0.0306,0.0306,6713
2025-01-10 05:00:00,0.034001,0.0368,0.032185,0.032205,3631
2025-01-13 05:00:00,0.035,0.0419,0.031999,0.0398,59443
2025-01-14 05:00:00,0.0394,0.0394,0.0224,0.03,63220
2025-01-15 05:00:00,0.0305,0.034,0.030099,0.0334,22384
2025-01-16 05:00:00,0.0339,0.034999,0.0339,0.0347,45258
2025-01-17 05:00:00,0.0323,0.0347,0.0301,0.0304,22201
2025-01-21 05:00:00,0.0347,0.0347,0.0304,0.0323,17110
2025-01-22 05:00:00,0.033899,0.04,0.0301,0.0389,13267
2025-01-23 05:00:00,0.0389,0.0389,0.031001,0.0312,3379
2025-01-24 05:00:00,0.0384,0.0384,0.0246,0.0321,23242
2025-01-27 05:00:00,0.0253,0.03,0.0253,0.03,867
2025-01-28 05:00:00,0.028629,0.03245,0.026,0.0261,65660
2025-01-29 05:00:00,0.0261,0.031363,0.025,0.0294,112160
2025-01-30 05:00:00,0.029999,0.029999,0.025,0.0297,9297
2025-01-31 05:00:00,0.0295,0.03,0.025,0.0278,15900
2025-02-03 05:00:00,0.0253,0.0345,0.0253,0.03125,7984
2025-02-04 05:00:00,0.0313,0.031501,0.03,0.03,6892
2025-02-05 05:00:00,0.0261,0.0328,0.0261,0.0314,2665
2025-02-06 05:00:00,0.0254,0.03,0.02,0.0202,165707
2025-02-07 05:00:00,0.0292,0.03,0.02,0.023,252995
2025-02-10 05:00:00,0.0188,0.0276,0.0188,0.0248,83627
2025-02-11 05:00:00,0.0277,0.0277,0.0189,0.0249,16732
2025-02-12 05:00:00,0.0249,0.037,0.0201,0.0279,100489
2025-02-13 05:00:00,0.03,0.03,0.0211,0.0297,9725
2025-02-14 05:00:00,0.029799,0.033,0.02501,0.03,56557
2025-02-18 05:00:00,0.0251,0.0338,0.0251,0.03,31863
2025-02-19 05:00:00,0.0257,0.0359,0.0257,0.03,12968
2025-02-20 05:00:00,0.03,0.0339,0.0265,0.031218,56468
2025-02-21 05:00:00,0.0313,0.0313,0.0267,0.0267,8428
2025-02-24 05:00:00,0.0271,0.03,0.0271,0.0272,4756
2025-02-25 05:00:00,0.027203,0.027203,0.0272,0.0272,208
2025-02-26 05:00:00,0.0318,0.0338,0.0272,0.0272,15097
2025-02-27 05:00:00,0.0272,0.0273,0.0256,0.0256,5032
2025-02-28 05:00:00,0.028803,0.028803,0.0211,0.0269,9448
2025-03-03 05:00:00,0.023342,0.028,0.0221,0.0271,26960
2025-03-04 05:00:00,0.0278,0.028399,0.0278,0.028399,6451
2025-03-05 05:00:00,0.0282,0.0283,0.025001,0.0282,12353
2025-03-06 05:00:00,0.0251,0.0252,0.025,0.0251,24482
2025-03-07 05:00:00,0.0281,0.0283,0.0221,0.026726,5772
2025-03-10 04:00:00,0.027,0.027,0.0222,0.0222,40732
2025-03-11 04:00:00,0.0246,0.0246,0.0225,0.0226,1860
2025-03-12 04:00:00,0.022249,0.0243,0.022249,0.0243,8296
2025-03-13 04:00:00,0.0243,0.0243,0.0223,0.0223,365
2025-03-14 04:00:00,0.0246,0.025,0.023028,0.0249,2948
2025-03-17 04:00:00,0.0226,0.025,0.0224,0.0227,7787
2025-03-18 04:00:00,0.024336,0.024336,0.0224,0.0231,1039
2025-03-19 04:00:00,0.0224,0.0225,0.0224,0.0224,1911
2025-03-20 04:00:00,0.0221,0.022884,0.0221,0.022884,564
2025-03-21 04:00:00,0.0221,0.0221,0.0221,0.0221,403
2025-03-24 04:00:00,0.0223,0.0223,0.0223,0.0223,135
2025-03-27 04:00:00,0.0244,0.0244,0.0222,0.0222,16630
2025-03-28 04:00:00,0.0241,0.0241,0.0223,0.0224,9053
2025-03-31 04:00:00,0.0241,0.025,0.0224,0.0249,10548
2025-04-01 04:00:00,0.0224,0.025,0.0224,0.0225,10100
2025-04-02 04:00:00,0.0226,0.0283,0.0225,0.025,56245
2025-04-03 04:00:00,0.022789,0.022789,0.0222,0.0222,5706
2025-04-04 04:00:00,0.02345,0.0248,0.0177,0.0229,95195
2025-04-07 04:00:00,0.0161,0.0193,0.0161,0.0193,550
2025-04-08 04:00:00,0.0229,0.0229,0.0194,0.0194,5700
2025-04-09 04:00:00,0.0196,0.0227,0.0196,0.0196,10202
2025-04-10 04:00:00,0.0198,0.02,0.0198,0.0198,16217
2025-04-11 04:00:00,0.0199,0.0199,0.0176,0.0199,10907
2025-04-14 04:00:00,0.0199,0.02,0.0181,0.02,18721
2025-04-15 04:00:00,0.0199,0.0199,0.019,0.019,1092
2025-04-16 04:00:00,0.018702,0.019,0.018702,0.0189,400
2025-04-17 04:00:00,0.0189,0.0189,0.0179,0.0179,618
2025-04-21 04:00:00,0.0182,0.0188,0.0181,0.0188,6441
2025-04-22 04:00:00,0.0182,0.0187,0.0182,0.0182,8942
2025-04-23 04:00:00,0.0199,0.0199,0.0178,0.018,6651
2025-04-24 04:00:00,0.0179,0.018,0.0178,0.01785,13110
2025-04-25 04:00:00,0.02,0.02,0.017987,0.017987,9742
2025-04-28 04:00:00,0.018455,0.018455,0.018455,0.018455,201
2025-04-30 04:00:00,0.0201,0.0283,0.01991,0.02,19987
2025-05-01 04:00:00,0.019,0.019,0.0178,0.018,53521
2025-05-02 04:00:00,0.0197,0.0197,0.0178,0.0178,2070
2025-05-05 04:00:00,0.018,0.018,0.0177,0.018,17680
2025-05-06 04:00:00,0.0177,0.0179,0.0177,0.0179,1533
2025-05-07 04:00:00,0.017899,0.0298,0.017,0.0175,125452
2025-05-08 04:00:00,0.0205,0.0222,0.0205,0.0221,4800
2025-05-09 04:00:00,0.02,0.02,0.018,0.0181,4260
2025-05-12 04:00:00,0.021,0.0283,0.021,0.021793,3767
2025-05-13 04:00:00,0.0217,0.024,0.0217,0.024,4677
2025-05-14 04:00:00,0.024,0.0294,0.0184,0.01871,16052
2025-05-15 04:00:00,0.0235,0.03,0.0191,0.0193,40876
2025-05-16 04:00:00,0.02,0.02,0.019,0.019,11046
2025-05-19 04:00:00,0.019,0.0243,0.019,0.0191,3113
2025-05-20 04:00:00,0.0222,0.0222,0.0192,0.0192,8797
2025-05-21 04:00:00,0.0192,0.0192,0.015,0.015,151469
2025-05-22 04:00:00,0.0153,0.0153,0.013,0.0133,82252
2025-05-23 04:00:00,0.0156,0.0162,0.0129,0.0146,59402
2025-05-27 04:00:00,0.01585,0.0278,0.0131,0.0133,135828
2025-05-28 04:00:00,0.014,0.022999,0.0133,0.022999,82076
2025-05-29 04:00:00,0.0149,0.0149,0.0137,0.0145,25786
2025-05-30 04:00:00,0.01465,0.0148,0.0145,0.0145,20674
2025-06-02 04:00:00,0.0143,0.025,0.0143,0.019999,12700
2025-06-03 04:00:00,0.019999,0.019999,0.0143,0.01578,27144
2025-06-04 04:00:00,0.02,0.02,0.0116,0.012,203528
2025-06-05 04:00:00,0.0122,0.0164,0.0119,0.0156,55312
2025-06-06 04:00:00,0.0156,0.0156,0.0122,0.01491,8576
2025-06-09 04:00:00,0.0122,0.0167,0.0122,0.0167,18413
2025-06-10 04:00:00,0.0219,0.0219,0.016701,0.0195,45087
2025-06-11 04:00:00,0.01907,0.019861,0.0174,0.019701,12688
2025-06-12 04:00:00,0.0155,0.0229,0.0155,0.020795,25177
2025-06-13 04:00:00,0.0122,0.022,0.0122,0.0209,38354
2025-06-16 04:00:00,0.0214,0.0214,0.0195,0.0212,2728
2025-06-17 04:00:00,0.0225,0.0225,0.016901,0.016901,14520
2025-06-18 04:00:00,0.0212,0.0239,0.0195,0.020101,6004
2025-06-20 04:00:00,0.02,0.022,0.0172,0.0172,22372
