Date,Open,High,Low,Close,Volume
2023-09-07 04:00:00,31.95,33.3,31.35,33.15,832.6667
2023-09-08 04:00:00,32.1,33.3,31.8,33.3,379.6667
2023-09-11 04:00:00,34.0515,37.5,33.9,35.85,3291.6667
2023-09-12 04:00:00,37.05,37.65,34.65,35.7,2612.8667
2023-09-13 04:00:00,35.7,40.95,34.5,35.4,3132.0
2023-09-14 04:00:00,35.4,35.85,32.25,32.25,1904.0
2023-09-15 04:00:00,34.05,34.35,31.2,34.2,1805.0667
2023-09-18 04:00:00,33.6,35.1,32.565,34.8,505.8667
2023-09-19 04:00:00,34.65,34.8,32.025,32.55,1235.4
2023-09-20 04:00:00,32.25,33.75,30.45,30.45,1074.5333
2023-09-21 04:00:00,30.45,36.75,30.45,35.7015,4703.6667
2023-09-22 04:00:00,38.25,38.25,34.2,35.643,4355.5333
2023-09-25 04:00:00,34.8,36.8985,31.8,32.25,1123.5333
2023-09-26 04:00:00,31.2,34.35,31.2,32.1,779.2
2023-09-27 04:00:00,33.6,36.0,31.8,34.65,2494.7333
2023-09-28 04:00:00,31.2,37.5,31.05,35.7,4963.0
2023-09-29 04:00:00,35.85,35.85,35.7,35.7,139.4667
2023-10-02 04:00:00,34.575,36.0,33.6,33.75,1160.7333
2023-10-03 04:00:00,33.3,41.28,32.727,40.5,5717.1333
2023-10-04 04:00:00,38.85,40.65,33.9,38.1,2309.7333
2023-10-05 04:00:00,42.0,42.0,34.9515,35.4,2516.1333
2023-10-06 04:00:00,35.4,35.4,31.974,33.6,1542.5333
2023-10-09 04:00:00,33.3,34.2,32.025,32.1,1069.9333
2023-10-10 04:00:00,33.0,34.2,32.4,33.6,362.1333
2023-10-11 04:00:00,34.125,34.125,30.4395,30.9,1861.7333
2023-10-12 04:00:00,31.05,32.1,30.525,31.2,693.0
2023-10-13 04:00:00,32.7,32.7,31.35,31.65,173.0
2023-10-16 04:00:00,30.9015,32.25,30.9015,31.05,1123.9333
2023-10-17 04:00:00,31.05,31.95,30.9,31.65,483.6667
2023-10-18 04:00:00,31.5,32.7,30.9,30.9,668.8
2023-10-19 04:00:00,30.9,32.2065,30.0015,30.3,243.1333
2023-10-20 04:00:00,30.0,30.6,27.3,28.65,2288.0
2023-10-23 04:00:00,32.1,32.1,27.6,27.6,1230.0
2023-10-24 04:00:00,28.5,29.859,27.3,27.3,495.2667
2023-10-25 04:00:00,28.35,29.5485,27.456,28.5,983.3333
2023-10-26 04:00:00,28.95,31.35,26.25,27.075,926.2
2023-10-27 04:00:00,26.4,27.6345,26.25,27.0,772.8667
2023-10-30 04:00:00,27.75,28.8,27.45,27.45,414.6667
2023-10-31 04:00:00,27.45,28.704,25.5,26.25,862.6
2023-11-01 04:00:00,27.0,28.95,27.0,27.15,554.4
2023-11-02 04:00:00,27.0,28.2,25.5,28.2,1550.8
2023-11-03 04:00:00,28.2,29.4,27.3,27.45,433.6667
2023-11-06 05:00:00,28.35,30.0,27.0,27.0,665.4
2023-11-07 05:00:00,27.0,28.9245,26.424,27.0,479.5333
2023-11-08 05:00:00,27.45,28.6665,26.1,27.75,319.2667
2023-11-09 05:00:00,27.15,27.75,26.25,26.25,156.8667
2023-11-10 05:00:00,26.25,26.25,22.8015,23.7,1181.0
2023-11-13 05:00:00,23.7,26.4,22.65,22.8,709.2
2023-11-14 05:00:00,22.2,24.0,22.062,22.5,735.5333
2023-11-15 05:00:00,22.5,23.7,21.075,21.375,810.2
2023-11-16 05:00:00,21.0,23.3715,20.7,21.6,1013.3333
2023-11-17 05:00:00,23.85,23.85,21.6,22.5,653.9333
2023-11-20 05:00:00,21.9,23.55,21.9,21.9,637.8
2023-11-21 05:00:00,21.9,21.9,21.0,21.0,319.3333
2023-11-22 05:00:00,21.6,21.7485,20.85,21.0045,233.0
2023-11-24 05:00:00,20.85,21.75,20.85,21.15,185.7333
2023-11-27 05:00:00,21.0,22.725,21.0,21.75,372.1333
2023-11-28 05:00:00,22.05,22.2,21.75,22.05,154.5333
2023-11-29 05:00:00,23.1,23.85,21.0015,23.25,1139.0
2023-11-30 05:00:00,23.7,23.775,22.2,22.2,606.8667
2023-12-01 05:00:00,22.5,25.2,22.35,25.2,561.2
2023-12-04 05:00:00,22.95,25.2,22.95,23.55,508.3333
2023-12-05 05:00:00,23.7,24.9,21.9,22.35,1393.6667
2023-12-06 05:00:00,23.85,24.1185,22.251,22.5,1032.2
2023-12-07 05:00:00,22.5,23.85,22.5,22.5075,322.4667
2023-12-08 05:00:00,23.85,27.75,21.9,22.8,6709.2
2023-12-11 05:00:00,22.65,22.65,22.0515,22.5,689.6667
2023-12-12 05:00:00,21.75,21.9,20.85,21.0,1983.7333
2023-12-13 05:00:00,21.0,21.0,19.95,21.0,1151.6667
2023-12-14 05:00:00,22.5,22.8,22.05,22.05,765.0667
2023-12-15 05:00:00,21.6,22.05,20.1,20.1,578.9333
2023-12-18 05:00:00,20.55,21.9,19.8,19.8,894.6667
2023-12-19 05:00:00,20.7,20.7,19.95,20.616,934.5333
2023-12-20 05:00:00,20.7,20.85,20.1,20.25,1208.8667
2023-12-21 05:00:00,20.55,20.55,19.62,19.95,1957.0
2023-12-22 05:00:00,19.9395,20.127,19.8,19.8,1491.1333
2023-12-26 05:00:00,20.25,21.1035,19.65,19.65,1506.6
2023-12-27 05:00:00,20.7,20.7,18.3,19.5375,2747.4
2023-12-28 05:00:00,20.7,26.7,19.722,23.4,64902.4667
2023-12-29 05:00:00,19.95,20.5125,18.3,19.5,14849.2
2024-01-02 05:00:00,19.05,20.25,18.75,18.9,6616.2667
2024-01-03 05:00:00,20.1,20.1,18.3,19.8,3922.2
2024-01-04 05:00:00,19.65,19.65,18.75,19.35,1121.2
2024-01-05 05:00:00,19.35,19.7775,18.9,19.05,1623.2667
2024-01-08 05:00:00,19.05,19.9605,18.75,19.35,1117.0667
2024-01-09 05:00:00,19.5,19.5,18.45,19.05,1013.3333
2024-01-10 05:00:00,19.5,20.2485,19.05,19.35,3511.9333
2024-01-11 05:00:00,19.95,19.95,18.75,19.125,2875.6
2024-01-12 05:00:00,19.5,19.8,18.75,19.2,3013.2
2024-01-16 05:00:00,18.75,19.35,18.45,18.45,3321.4
2024-01-17 05:00:00,18.15,18.3,15.9,16.8,2604.0667
2024-01-18 05:00:00,16.5,16.5,15.9,16.05,460.5333
2024-01-19 05:00:00,15.9,16.8,15.9,16.35,1252.8667
2024-01-22 05:00:00,16.05,17.25,14.85,15.15,5294.6
2024-01-23 05:00:00,15.0,15.15,12.75,14.019,3695.0667
2024-01-24 05:00:00,13.62,13.95,13.05,13.2,2019.6
2024-01-25 05:00:00,13.47,13.5,13.05,13.2375,1825.7333
2024-01-26 05:00:00,13.545,13.9485,13.05,13.4625,4230.0
2024-01-29 05:00:00,13.05,13.947,13.05,13.5015,2066.4667
2024-01-30 05:00:00,13.9875,14.1735,11.7825,12.0,101633.5333
2024-01-31 05:00:00,12.15,12.3,10.65,11.13,8608.0
2024-02-01 05:00:00,10.8,14.4,9.735,13.551,32454.2667
2024-02-02 05:00:00,12.9075,13.4985,11.2965,13.0125,5943.8
2024-02-05 05:00:00,12.675,12.906,12.0015,12.903,1467.7333
2024-02-06 05:00:00,12.33,17.1,11.904,12.687,82763.5333
2024-02-07 05:00:00,12.1095,12.4478,11.325,12.2595,9409.7333
2024-02-08 05:00:00,11.892,12.4485,11.5545,12.1755,2310.6667
2024-02-09 05:00:00,12.6285,12.7485,11.5545,11.5545,2285.2667
2024-02-12 05:00:00,11.55,12.6,11.55,12.135,6566.2667
2024-02-13 05:00:00,12.15,12.33,11.703,12.225,1311.3333
2024-02-14 05:00:00,12.0135,12.375,11.7435,12.3735,997.0
2024-02-15 05:00:00,12.15,12.6,12.15,12.5985,1761.2
2024-02-16 05:00:00,12.3,12.525,12.0333,12.465,560.5333
2024-02-20 05:00:00,12.6,13.3185,12.0315,12.9885,4232.1333
2024-02-21 05:00:00,12.75,13.65,12.45,12.855,6885.7333
2024-02-22 05:00:00,13.05,13.35,12.5985,12.75,1815.1333
