Date,Open,High,Low,Close,Volume
2025-02-18 05:00:00,2.75,3.45,2.6,3.11,645227.0
2025-02-19 05:00:00,5.66,10.0,5.0,5.46,42095643.0
2025-02-20 05:00:00,4.26,4.4,3.21,3.45,987501.0
2025-02-21 05:00:00,5.2,6.95,4.22,4.22,24838212.0
2025-02-24 05:00:00,3.8,3.9,3.25,3.41,428667.0
2025-02-25 05:00:00,3.65,3.99,3.4,3.66,763491.0
2025-02-26 05:00:00,3.41,3.7,3.2,3.3,204369.0
2025-02-27 05:00:00,3.21,3.69,3.21,3.32,123469.0
2025-02-28 05:00:00,3.34,3.3676,2.98,3.04,78458.0
2025-03-03 05:00:00,3.06,3.06,2.6,2.6,90702.0
2025-03-04 05:00:00,2.49,2.49,2.0295,2.28,89723.0
2025-03-05 05:00:00,2.22,2.8,2.22,2.51,149138.0
2025-03-06 05:00:00,2.48,2.74,2.15,2.29,122368.0
2025-03-07 05:00:00,2.47,2.56,2.29,2.29,35556.0
2025-03-10 04:00:00,2.4,2.41,1.76,1.78,86231.0
2025-03-11 04:00:00,1.77,1.89,1.685,1.78,51190.0
2025-03-12 04:00:00,1.9767,1.9767,1.6,1.66,25748.0
2025-03-13 04:00:00,1.62,1.8048,1.45,1.47,125474.0
2025-03-14 04:00:00,1.46,1.64,1.4,1.435,52731.0
2025-03-17 04:00:00,1.44,1.46,1.3,1.3305,68877.0
2025-03-18 04:00:00,1.32,1.8999,1.3,1.79,537316.0
2025-03-19 04:00:00,1.56,1.68,1.5201,1.61,194519.0
2025-03-20 04:00:00,1.69,1.735,1.541,1.59,95070.0
2025-03-21 04:00:00,1.58,1.71,1.58,1.71,44896.0
2025-03-24 04:00:00,1.66,1.8684,1.66,1.73,101833.0
2025-03-25 04:00:00,1.83,1.85,1.51,1.6,55652.0
2025-03-26 04:00:00,4.1501,4.33,2.89,3.79,96151574.0
2025-03-27 04:00:00,2.98,3.04,2.7,2.99,1766374.0
2025-03-28 04:00:00,2.72,2.79,2.1,2.4,484153.0
2025-03-31 04:00:00,2.23,2.23,1.86,1.88,200463.0
2025-04-01 04:00:00,1.86,2.0,1.67,1.72,184081.0
2025-04-02 04:00:00,1.8,1.8294,1.43,1.47,222964.0
2025-04-03 04:00:00,2.07,3.3,1.76,2.47,89757084.0
2025-04-04 04:00:00,2.3,2.72,1.7,1.95,1610257.0
2025-04-07 04:00:00,1.54,1.6799,1.46,1.53,630700.0
2025-04-08 04:00:00,1.52,1.774,1.375,1.5,273486.0
2025-04-09 04:00:00,1.73,1.75,1.4742,1.53,469571.0
2025-04-10 04:00:00,1.59,1.635,1.44,1.47,152414.0
2025-04-11 04:00:00,1.47,1.51,1.4,1.44,98442.0
2025-04-14 04:00:00,1.46,1.6,1.46,1.58,187747.0
2025-04-15 04:00:00,1.46,1.555,1.38,1.45,217446.0
2025-04-16 04:00:00,1.43,1.48,1.32,1.35,103115.0
2025-04-17 04:00:00,1.35,1.39,1.33,1.33,58627.0
2025-04-21 04:00:00,1.31,1.34,1.25,1.33,71346.0
2025-04-22 04:00:00,1.33,1.39,1.33,1.34,37935.0
2025-04-23 04:00:00,1.375,1.4299,1.33,1.37,29440.0
2025-04-24 04:00:00,1.42,1.42,1.3504,1.38,44767.0
2025-04-25 04:00:00,1.44,1.44,1.36,1.38,82767.0
2025-04-28 04:00:00,1.42,1.42,1.35,1.385,54684.0
2025-04-29 04:00:00,1.41,1.42,1.36,1.37,63588.0
2025-04-30 04:00:00,1.37,1.3933,1.33,1.35,27861.0
2025-05-01 04:00:00,1.33,1.38,1.31,1.35,63374.0
2025-05-02 04:00:00,1.3514,1.44,1.3514,1.41,121057.0
2025-05-05 04:00:00,1.48,1.48,1.37,1.37,23427.0
2025-05-06 04:00:00,1.3725,1.41,1.3,1.32,32908.0
2025-05-07 04:00:00,1.34,1.3993,1.24,1.27,74168.0
2025-05-08 04:00:00,1.25,1.31,1.25,1.28,15601.0
2025-05-09 04:00:00,1.26,1.28,1.24,1.25,33628.0
2025-05-12 04:00:00,1.3,1.3,1.25,1.25,53120.0
2025-05-13 04:00:00,1.26,1.28,1.2,1.21,43986.0
2025-05-14 04:00:00,1.31,1.31,1.15,1.17,51176.0
2025-05-15 04:00:00,1.1702,1.2,1.1,1.14,22265.0
2025-05-16 04:00:00,1.13,1.17,1.11,1.17,29357.0
2025-05-19 04:00:00,1.22,1.23,1.13,1.13,40544.0
2025-05-20 04:00:00,1.133862,1.16,1.1201,1.15,14595.0
2025-05-21 04:00:00,1.19,1.19,1.1263,1.1496,13225.0
2025-05-22 04:00:00,1.17,1.21,1.02,1.21,1219456.0
2025-05-23 04:00:00,1.135,1.17,1.12,1.16,55255.0
2025-05-27 04:00:00,1.2,1.2,1.13,1.13,48676.0
2025-05-28 04:00:00,1.1192,1.13,1.05,1.11,39681.0
2025-05-29 04:00:00,1.11,1.271,1.11,1.22,163499.0
2025-05-30 04:00:00,1.26,1.61,1.18,1.45,463953.0
2025-06-02 04:00:00,1.3708,1.45,1.2901,1.31,122498.0
2025-06-03 04:00:00,1.43,1.43,1.29,1.3,54180.0
2025-06-04 04:00:00,1.3901,1.4,1.3305,1.36,79631.0
2025-06-05 04:00:00,1.4,1.52,1.36,1.4,80503.0
2025-06-06 04:00:00,1.45,1.45,1.355,1.36,28075.0
2025-06-09 04:00:00,1.36,1.465,1.35,1.45,33882.0
2025-06-10 04:00:00,1.38,1.68,1.38,1.67,216511.0
2025-06-11 04:00:00,1.66,1.66,1.57,1.61,50719.0
2025-06-12 04:00:00,1.6,1.65,1.5501,1.63,36896.0
2025-06-13 04:00:00,1.52,1.55,1.3801,1.41,99949.0
2025-06-16 04:00:00,1.4,1.53,1.4,1.53,70907.0
2025-06-17 04:00:00,1.53,1.57,1.4843,1.54,52684.0
2025-06-18 04:00:00,1.54,1.66,1.54,1.62,100986.0
2025-06-20 04:00:00,1.63,1.79,1.51,1.54,194958.0
2025-06-23 04:00:00,1.71,1.71,1.22,1.31,216326.0
2025-06-24 04:00:00,1.44,1.4965,1.25,1.28,204503.0
2025-06-25 04:00:00,1.27,1.33,1.24,1.25,54656.0
