Date,Open,High,Low,Close,Volume
2025-04-02 04:00:00,32.4,33.92,32.12,32.75,10043385.0
2025-04-03 04:00:00,32.0,33.4,32.0,33.1,3944071.0
2025-04-04 04:00:00,32.23,34.25,32.23,32.89,1962516.0
2025-04-07 04:00:00,32.26,33.287,30.61,32.2,1765132.0
2025-04-08 04:00:00,32.2,33.24,29.89,31.22,1798303.0
2025-04-09 04:00:00,30.18,33.12,30.0,31.92,781960.0
2025-04-10 04:00:00,31.37,32.42,30.34,32.0,703635.0
2025-04-11 04:00:00,32.47,32.99,31.32,32.35,389547.0
2025-04-14 04:00:00,32.46,35.07,31.51,32.75,341980.0
2025-04-15 04:00:00,32.57,33.135,32.05,32.56,383127.0
2025-04-16 04:00:00,32.82,33.36,32.12,33.33,361244.0
2025-04-17 04:00:00,33.36,34.16,32.975,33.94,531246.0
2025-04-21 04:00:00,33.82,34.0,32.42,33.13,448103.0
2025-04-22 04:00:00,33.14,34.299,32.93,33.23,469976.0
2025-04-23 04:00:00,33.51,34.55,32.87,33.07,407637.0
2025-04-24 04:00:00,33.4,33.65,32.75,33.65,495135.0
2025-04-25 04:00:00,33.65,34.35,33.275,33.45,297486.0
2025-04-28 04:00:00,33.9,34.2,32.98,34.0,335872.0
2025-04-29 04:00:00,33.72,35.0,33.665,34.05,628992.0
2025-04-30 04:00:00,33.72,35.39,33.72,35.14,789880.0
2025-05-01 04:00:00,35.25,35.63,34.82,35.32,403894.0
2025-05-02 04:00:00,35.82,36.33,35.35,35.8,442243.0
2025-05-05 04:00:00,36.41,36.41,34.95,35.42,314087.0
2025-05-06 04:00:00,35.15,35.975,34.52,34.6,435396.0
2025-05-07 04:00:00,34.9,35.295,34.0,34.74,499949.0
2025-05-08 04:00:00,34.97,35.97,34.8,35.97,582670.0
2025-05-09 04:00:00,35.75,37.74,35.5,36.56,558936.0
2025-05-12 04:00:00,37.32,37.66,36.04,36.53,299138.0
2025-05-13 04:00:00,36.97,37.33,35.08,36.0,396728.0
2025-05-14 04:00:00,36.21,36.49,35.58,35.94,423546.0
2025-05-15 04:00:00,36.42,36.75,35.5,36.67,308347.0
2025-05-16 04:00:00,37.06,37.29,36.42,36.96,293636.0
2025-05-19 04:00:00,37.05,37.0699,36.42,36.77,258577.0
2025-05-20 04:00:00,36.84,37.37,36.36,36.65,293194.0
2025-05-21 04:00:00,36.49,36.89,35.59,35.88,245449.0
2025-05-22 04:00:00,35.62,36.66,35.36,36.54,496250.0
2025-05-23 04:00:00,36.09,36.65,36.09,36.6,256780.0
2025-05-27 04:00:00,37.07,37.2,36.61,36.85,373403.0
2025-05-28 04:00:00,36.7,37.325,36.315,36.57,441311.0
2025-05-29 04:00:00,36.53,37.03,35.86,36.5,339508.0
2025-05-30 04:00:00,35.99,36.83,35.32,36.54,396754.0
2025-06-02 04:00:00,36.54,36.96,36.32,36.55,435190.0
2025-06-03 04:00:00,36.43,37.055,36.03,36.67,448555.0
2025-06-04 04:00:00,36.71,36.825,36.2,36.75,592929.0
2025-06-05 04:00:00,36.43,37.0,36.31,36.66,601765.0
2025-06-06 04:00:00,36.8,37.02,36.21,37.0,515656.0
2025-06-09 04:00:00,37.59,37.67,36.465,37.21,959861.0
2025-06-10 04:00:00,37.58,37.58,37.02,37.27,282687.0
2025-06-11 04:00:00,37.22,37.595,36.25,36.58,355779.0
2025-06-12 04:00:00,36.4,36.77,35.88,36.23,331090.0
2025-06-13 04:00:00,35.86,36.1177,35.26,35.69,261364.0
2025-06-16 04:00:00,35.88,36.93,35.88,36.28,539696.0
2025-06-17 04:00:00,36.32,36.52,35.45,35.48,692280.0
2025-06-18 04:00:00,35.94,36.87,35.35,36.31,933210.0
2025-06-20 04:00:00,36.54,36.78,35.58,36.52,4248740.0
2025-06-23 04:00:00,36.39,37.23,36.0578,37.09,797488.0
2025-06-24 04:00:00,37.42,37.79,36.82,37.2,706289.0
2025-06-25 04:00:00,37.5,37.645,36.295,36.5,601742.0
2025-06-26 04:00:00,36.3,36.54,35.625,36.22,663934.0
2025-06-27 04:00:00,36.35,36.91,35.67,36.05,5696778.0
2025-06-30 04:00:00,35.93,36.39,34.97,36.23,1199650.0
2025-07-01 04:00:00,35.94,37.34,35.86,37.02,479392.0
2025-07-02 04:00:00,37.09,37.28,36.405,37.23,790561.0
2025-07-03 04:00:00,36.91,37.37,36.83,37.2,415707.0
2025-07-07 04:00:00,37.24,37.3,36.35,36.67,775401.0
2025-07-08 04:00:00,37.06,37.06,36.34,36.5,318839.0
2025-07-09 04:00:00,36.34,36.47,35.9,36.32,435732.0
2025-07-10 04:00:00,36.78,36.795,35.595,35.71,1094461.0
2025-07-11 04:00:00,35.23,36.2,35.045,36.13,578305.0
2025-07-14 04:00:00,36.08,36.6,35.88,36.38,480913.0
2025-07-15 04:00:00,36.33,36.7,35.73,35.89,442600.0
2025-07-16 04:00:00,35.89,36.64,35.77,36.15,651507.0
2025-07-17 04:00:00,36.19,36.22,35.61,35.94,350546.0
2025-07-18 04:00:00,36.14,36.14,35.42,35.97,317961.0
2025-07-21 04:00:00,36.0,36.73,36.0,36.26,284914.0
2025-07-22 04:00:00,36.34,37.26,36.305,37.06,538341.0
2025-07-23 04:00:00,37.15,37.77,36.795,37.15,406315.0
2025-07-24 04:00:00,37.04,37.24,36.38,36.38,294661.0
2025-07-25 04:00:00,36.7,36.89,35.81,36.21,228440.0
2025-07-28 04:00:00,36.56,36.64,35.94,36.16,513988.0
2025-07-29 04:00:00,36.52,36.52,35.65,36.29,608616.0
2025-07-30 04:00:00,36.74,36.74,35.28,35.63,360736.0
2025-07-31 04:00:00,35.54,35.54,33.66,33.88,778041.0
2025-08-01 04:00:00,34.93,34.93,33.55,34.8,768299.0
2025-08-04 04:00:00,34.81,35.46,34.566,34.96,432985.0
2025-08-05 04:00:00,34.77,35.525,34.525,35.24,765586.0
2025-08-06 04:00:00,35.44,35.48,34.77,34.92,483577.0
2025-08-07 04:00:00,34.63,35.03,32.94,34.62,2164841.0
2025-08-08 04:00:00,34.52,34.66,33.73,33.98,281702.0
2025-08-11 04:00:00,34.12,34.175,33.675,33.86,262891.0
2025-08-12 04:00:00,33.81,34.485,33.6537,34.42,302899.0
2025-08-13 04:00:00,34.75,35.31,34.35,35.26,329651.0
2025-08-14 04:00:00,34.97,35.49,34.35,34.79,262168.0
2025-08-15 04:00:00,34.83,35.5,34.57,35.11,336381.0
2025-08-18 04:00:00,35.09,35.41,34.49,34.49,443246.0
2025-08-19 04:00:00,34.4,35.265,34.4,35.09,407615.0
2025-08-20 04:00:00,35.29,35.99,35.0,35.55,627623.0
2025-08-21 04:00:00,35.29,36.2,35.23,35.83,694827.0
2025-08-22 04:00:00,36.2,37.52,36.055,36.54,907622.0
2025-08-25 04:00:00,36.22,36.75,36.06,36.38,616909.0
2025-08-26 04:00:00,36.36,36.68,36.0,36.11,1078155.0
2025-08-27 04:00:00,36.47,37.045,35.98,36.49,308855.0
2025-08-28 04:00:00,36.45,36.92,36.12,36.81,443298.0
2025-08-29 04:00:00,36.84,37.26,36.12,36.39,456544.0
2025-09-02 04:00:00,36.12,36.5,35.91,36.06,366524.0
2025-09-03 04:00:00,35.95,36.3999,35.6,36.28,368474.0
2025-09-04 04:00:00,36.28,36.86,36.145,36.8,364270.0
2025-09-05 04:00:00,36.93,37.73,36.92,37.34,389506.0
