Date,Open,High,Low,Close,Volume
2023-11-08 05:00:00,0.135,0.1399,0.11,0.11,31262
2023-11-09 05:00:00,0.1398,0.14,0.11,0.11,82600
2023-11-10 05:00:00,0.12,0.135,0.11,0.12,37894
2023-11-13 05:00:00,0.12,0.12,0.1,0.1,25361
2023-11-14 05:00:00,0.118,0.118,0.118,0.118,4036
2023-11-15 05:00:00,0.135,0.135,0.135,0.135,628
2023-11-16 05:00:00,0.129,0.129,0.1,0.1,11668
2023-11-17 05:00:00,0.1339,0.1339,0.095,0.095,3303
2023-11-21 05:00:00,0.095,0.095,0.06,0.0619,14662
2023-11-24 05:00:00,0.08,0.09,0.065,0.09,286028
2023-11-27 05:00:00,0.085,0.085,0.07,0.07,5500
2023-11-28 05:00:00,0.07,0.07,0.07,0.07,216
2023-11-30 05:00:00,0.09,0.1299,0.0801,0.09,128439
2023-12-01 05:00:00,0.1,0.1,0.1,0.1,200
2023-12-04 05:00:00,0.09,0.09,0.0791,0.088,207653
2023-12-05 05:00:00,0.088,0.088,0.0803,0.088,216756
2023-12-06 05:00:00,0.08,0.0801,0.0625,0.08,13067
2023-12-08 05:00:00,0.0703,0.075,0.0703,0.075,678
2023-12-11 05:00:00,0.0971,0.098,0.097,0.098,865
2023-12-18 05:00:00,0.082499,0.09,0.082499,0.0879,5623
2023-12-22 05:00:00,0.0911,0.092,0.0911,0.0911,1464
2024-01-12 05:00:00,0.091,0.092,0.091,0.092,6404
2024-01-17 05:00:00,0.095,0.095,0.095,0.095,1259
2024-01-31 05:00:00,0.0525,0.0526,0.0525,0.0526,220
2024-02-12 05:00:00,0.07625,0.07625,0.07625,0.07625,350
2024-02-13 05:00:00,0.0869,0.0893,0.0869,0.0893,842
2024-02-14 05:00:00,0.08,0.0857,0.08,0.0857,10543
2024-02-20 05:00:00,0.0825,0.09,0.0825,0.09,8056
2024-02-22 05:00:00,0.0926,0.1,0.0896,0.0896,23893
2024-02-23 05:00:00,0.0625,0.0625,0.0625,0.0625,352
2024-02-26 05:00:00,0.06,0.06,0.06,0.06,293611
2024-02-27 05:00:00,0.0796,0.0799,0.0795,0.0795,526
2024-03-01 05:00:00,0.0788,0.0788,0.0785,0.0788,527
2024-03-04 05:00:00,0.075,0.0788,0.07,0.0788,1673
2024-03-12 04:00:00,0.06,0.0601,0.06,0.0601,737
2024-03-26 04:00:00,0.0773,0.078,0.05,0.065,53865
2024-04-01 04:00:00,0.0551,0.0753,0.0528,0.063,18903
2024-04-02 04:00:00,0.068,0.0762,0.0523,0.0762,7728
2024-04-03 04:00:00,0.0766,0.0766,0.0672,0.0675,10291
2024-04-04 04:00:00,0.0613,0.0619,0.0558,0.0619,5499
2024-04-05 04:00:00,0.0565,0.0605,0.0565,0.0565,411
2024-04-11 04:00:00,0.0592,0.0592,0.0592,0.0592,101
2024-04-12 04:00:00,0.069,0.069,0.05,0.051,8071
2024-04-17 04:00:00,0.0741,0.12,0.0515,0.0515,5603
2024-04-23 04:00:00,0.0505,0.0505,0.0505,0.0505,302
2024-04-30 04:00:00,0.0567,0.0611,0.0535,0.0535,10157
2024-05-01 04:00:00,0.09,0.092,0.0535,0.0535,12649
2024-05-02 04:00:00,0.0505,0.0837,0.0505,0.0651,1350
