Date,Open,High,Low,Close,Volume
2024-11-20,3.29,5.25,2.78,3.76,1132587.0
2024-11-21,4.51,4.75,3.26,4.19,4946539.0
2024-11-22,3.71,3.8209,3.0,3.09,313506.0
2024-11-25,3.09,3.09,2.19,2.46,276602.0
2024-11-26,2.28,2.28,1.85,2.16,161048.0
2024-11-27,2.14,2.3,1.7105,1.785,235363.0
2024-11-29,1.72,1.95,1.72,1.85,51871.0
2024-12-02,1.76,1.79,1.62,1.6777,67981.0
2024-12-03,1.62,1.7,1.5105,1.685,40458.0
2024-12-04,1.6999,1.75,1.62,1.63,23125.0
2024-12-05,1.62,1.62,1.375,1.4318,59701.0
2024-12-06,1.42,1.62,1.38,1.5,60798.0
2024-12-09,1.49,1.67,1.4807,1.6537,41244.0
2024-12-10,1.6201,1.7931,1.62,1.74,637420.0
2024-12-11,1.74,2.38,1.6905,2.1,260256.0
2024-12-12,1.97,2.0,1.7114,1.87,73419.0
2024-12-13,1.7,1.83,1.5301,1.74,108898.0
2024-12-16,1.7001,1.78,1.62,1.67,35861.0
2024-12-17,1.62,1.7,1.53,1.65,23695.0
2024-12-18,1.7019,1.7499,1.56,1.58,36400.0
2024-12-19,1.55,2.15,1.55,2.06,269999.0
2024-12-20,1.92,2.1,1.9,1.97,39269.0
2024-12-23,2.0283,2.3,1.97,2.265,61697.0
2024-12-24,2.29,2.62,2.2,2.41,50942.0
2024-12-26,2.505,2.5759,2.25,2.32,123773.0
2024-12-27,2.38,2.7,2.15,2.2497,105636.0
2024-12-30,2.39,2.48,2.18,2.33,68186.0
2024-12-31,2.26,2.58,2.182,2.55,52130.0
2025-01-02,2.53,2.53,2.35,2.47,31751.0
2025-01-03,2.41,2.4822,2.31,2.43,52143.0
2025-01-06,2.36,2.4997,2.25,2.285,80423.0
2025-01-07,2.3,2.35,2.15,2.2214,38408.0
2025-01-08,2.21,2.47,2.06,2.1,24039.0
2025-01-10,2.17,2.1871,2.02,2.1,15259.0
2025-01-13,2.06,2.2,1.86,2.14,52239.0
2025-01-14,2.105,2.26,2.07,2.13,60685.0
2025-01-15,2.12,2.175,2.02,2.1,14475.0
2025-01-16,2.05,2.23,2.02,2.0479,32935.0
2025-01-17,2.11,2.11,2.02,2.06,16381.0
2025-01-21,2.04,2.1734,2.04,2.1546,27834.0
2025-01-22,2.09,2.1954,2.06,2.1,10916.0
2025-01-23,2.08,2.237,2.05,2.08,24067.0
2025-01-24,2.08,2.1371,2.04,2.11,9515.0
2025-01-27,2.02,2.0944,2.0,2.01,15125.0
2025-01-28,2.0,2.0719,1.97,1.97,6232.0
2025-01-29,2.01,2.16,1.99,1.99,7013.0
