Date,Open,High,Low,Close,Volume
2024-08-13,10.01,10.03,10.0,10.01,3862610.0
2024-08-14,10.01,10.03,10.01,10.01,1266536.0
2024-08-15,10.02,10.02,9.99,9.99,743108.0
2024-08-16,9.99,10.01,9.99,10.0,160791.0
2024-08-19,10.01,10.01,9.99,9.99,18963.0
2024-08-20,10.0,10.0,10.0,10.0,105543.0
2024-08-21,10.03,10.03,10.015,10.02,11621.0
2024-08-22,10.03,10.035,10.02,10.0325,8611.0
2024-08-23,10.02,10.02,10.02,10.02,110029.0
2024-08-26,10.025,10.025,10.0,10.0106,19437.0
2024-08-27,10.01,10.01,10.005,10.01,5543.0
2024-08-28,10.01,10.01,10.01,10.01,3031.0
2024-08-29,10.01,10.01,10.01,10.01,7609.0
2024-08-30,10.02,10.02,10.01,10.02,315.0
2024-09-03,10.01,10.05,10.0,10.02,161243.0
2024-09-05,10.0,10.01,10.0,10.01,50204.0
2024-09-06,10.0,10.0103,9.99,10.01,266903.0
2024-09-09,10.01,10.01,10.01,10.01,2315.0
2024-09-10,10.0,10.0,10.0,10.0,147.0
2024-09-11,10.0,10.01,10.0,10.005,208461.0
2024-09-12,10.0,10.0,10.0,10.0,10035.0
2024-09-13,10.01,10.01,10.01,10.01,5007.0
2024-09-16,10.0,10.01,10.0,10.01,55408.0
2024-09-18,10.01,10.0143,10.0,10.0001,98457.0
2024-09-19,10.0,10.02,10.0,10.02,183012.0
2024-09-20,10.01,10.02,10.01,10.02,8134.0
2024-09-24,10.05,10.05,10.05,10.05,4127.0
2024-09-25,10.0146,10.04,10.01,10.03,24814.0
2024-09-26,10.03,10.03,10.03,10.03,1734.0
2024-09-30,10.03,10.03,10.03,10.03,868.0
2024-10-03,10.04,10.04,10.03,10.04,83305.0
2024-10-04,10.03,10.07,10.02,10.05,11014.0
2024-10-07,10.05,10.05,10.05,10.05,3190.0
2024-10-08,10.05,10.05,10.05,10.05,3590.0
2024-10-09,10.04,10.04,10.03,10.03,11029.0
2024-10-10,10.03,10.03,10.03,10.03,1430.0
2024-10-11,10.03,10.03,10.03,10.03,2199.0
2024-10-14,10.0315,10.0315,10.0315,10.0315,633.0
2024-10-15,10.04,10.04,10.04,10.04,25900.0
2024-10-16,10.04,10.05,10.04,10.05,3919.0
2024-10-17,10.055,10.055,10.03,10.03,23060.0
2024-10-18,10.04,10.04,10.04,10.04,25270.0
2024-10-21,10.05,10.07,10.05,10.07,998.0
2024-10-22,10.06,10.06,10.06,10.06,157.0
2024-10-23,10.05,10.05,10.05,10.05,12269.0
2024-10-24,10.05,10.05,10.05,10.05,101.0
2024-10-25,10.08,10.1,10.05,10.1,1433.0
2024-10-28,10.06,10.06,10.06,10.06,293.0
2024-10-29,10.06,10.06,10.06,10.06,152.0
2024-10-30,10.06,10.07,10.06,10.07,5049.0
2024-11-01,10.06,10.06,10.06,10.06,4376.0
2024-11-04,10.06,10.07,10.06,10.07,250190.0
2024-11-06,10.07,10.07,10.07,10.07,336.0
2024-11-07,10.09,10.09,10.0788,10.0788,376.0
2024-11-08,10.08,10.12,10.08,10.11,58688.0
2024-11-11,10.13,10.135,10.1198,10.13,126876.0
2024-11-12,10.125,10.17,10.125,10.15,177559.0
2024-11-13,10.1698,10.18,10.15,10.17,3699.0
2024-11-14,10.18,10.28,10.1711,10.25,956547.0
2024-11-15,10.27,10.27,10.24,10.25,6686.0
2024-11-18,10.28,10.28,10.27,10.27,1917.0
2024-11-19,10.28,10.35,10.23,10.26,66385.0
2024-11-20,10.34,10.34,10.24,10.3,461958.0
2024-11-21,10.25,10.305,10.25,10.265,5831.0
2024-11-22,10.27,10.27,10.25,10.25,5904.0
2024-11-25,10.25,10.25,10.2,10.25,33648.0
2024-11-26,10.25,10.3,10.25,10.26,3655.0
2024-11-27,10.265,10.3,10.21,10.21,11365.0
2024-11-29,10.2,10.21,10.2,10.21,1129.0
2024-12-02,10.2,10.31,10.2,10.31,480.0
2024-12-03,10.31,10.31,10.25,10.25,3593.0
2024-12-04,10.25,10.32,10.2219,10.25,35793.0
2024-12-05,10.32,10.32,10.2231,10.29,119085.0
2024-12-06,10.2662,10.34,10.2662,10.27,4113.0
2024-12-09,10.33,10.35,10.25,10.25,2506.0
2024-12-10,10.25,10.265,10.25,10.25,6568.0
2024-12-11,10.25,10.35,10.25,10.2508,3425.0
2024-12-12,10.35,10.5,10.33,10.5,59601.0
2024-12-13,10.5,10.5,10.36,10.49,20253.0
2024-12-16,10.26,10.95,10.26,10.6,3095.0
2024-12-17,10.6,10.6,10.4024,10.465,7244.0
2024-12-18,10.5,10.59,10.5,10.59,421.0
2024-12-19,10.4993,10.4993,10.4993,10.4993,469.0
2024-12-20,10.51,10.51,10.51,10.51,353.0
2024-12-23,10.35,10.6213,10.35,10.6213,718.0
2024-12-24,10.35,10.35,10.35,10.35,171.0
2024-12-26,10.33,10.38,10.33,10.35,52545.0
2024-12-27,10.35,10.36,10.32,10.35,17552.0
2024-12-30,10.4841,10.5,10.39,10.39,995.0
2025-01-03,10.35,10.4589,10.35,10.35,3903.0
2025-01-06,10.35,10.4652,10.32,10.3964,5778.0
2025-01-07,10.45,10.45,10.32,10.32,3370.0
2025-01-10,10.49,10.49,10.35,10.35,799.0
2025-01-13,10.49,10.49,10.35,10.35,375.0
2025-01-14,10.35,10.35,10.35,10.35,144.0
2025-01-15,10.35,10.35,10.35,10.35,1053.0
2025-01-16,10.35,10.4,10.35,10.4,108403.0
2025-01-21,10.47,10.47,10.4,10.4,12776.0
2025-01-22,10.4,10.43,10.4,10.4,30685.0
2025-01-28,10.45,10.45,10.35,10.35,2526.0
2025-01-30,10.35,10.35,10.35,10.35,711.0
2025-01-31,10.39,10.4,10.33,10.33,1701.0
2025-02-03,10.27,10.345,10.26,10.26,11643.0
2025-02-04,10.26,10.315,10.26,10.3,15369.0
2025-02-05,10.35,10.3536,10.35,10.35,7939.0
2025-02-06,10.36,10.45,10.36,10.45,5232.0
2025-02-07,10.45,10.537961,10.45,10.537961,1950.0
2025-02-10,10.6152,10.6152,10.4,10.4,1555.0
2025-02-11,10.36,10.4,10.3,10.4,4952.0
2025-02-12,10.45,10.74,10.4,10.45,2414.0
2025-02-18,10.4585,10.4585,10.41,10.43,3762.0
2025-02-19,10.5,10.5,10.4,10.4,849.0
2025-02-20,10.45,10.45,10.39,10.39,1352.0
2025-02-21,10.38,10.45,10.38,10.38,2305.0
2025-02-24,10.4,10.4,10.4,10.4,78240.0
2025-02-25,10.35,10.35,10.31,10.31,708.0
2025-02-26,10.31,10.31,10.31,10.31,219.0
2025-02-27,10.35,10.35,10.35,10.35,226.0
2025-02-28,10.31,10.31,10.28,10.28,2514.0
2025-03-03,10.31,10.39,10.31,10.35,2612.0
2025-03-04,10.3789,10.3789,10.282,10.3,5605.0
2025-03-05,10.28,10.35,10.28,10.345,150992.0
2025-03-07,10.31,10.33,10.31,10.31,3969.0
2025-03-10,10.39,10.39,10.31,10.31,3785.0
2025-03-11,10.35,10.35,10.35,10.35,920.0
2025-03-12,10.34,10.35,10.34,10.35,1836.0
2025-03-14,10.35,10.35,10.35,10.35,28601.0
2025-03-17,10.39,10.39,10.35,10.35,2029.0
2025-03-18,10.35,10.4,10.35,10.4,2170.0
2025-03-19,10.38,10.4,10.3394,10.4,1031.0
2025-03-20,10.3862,10.5,10.3862,10.5,30034.0
2025-03-21,10.48,10.5,10.48,10.48,25705.0
2025-03-24,10.5,10.5,10.5,10.5,5212.0
2025-03-25,10.54,10.6,10.53,10.6,46956.0
2025-03-26,10.7,10.7,10.6,10.68,20908.0
2025-03-31,10.6438,10.74,10.6438,10.74,36211.0
2025-04-01,10.48,10.75,10.45,10.75,5780.0
2025-04-02,10.7,10.7,10.7,10.7,686.0
2025-04-03,10.6,10.7,10.6,10.67,32668.0
2025-04-07,10.67,10.71,10.67,10.71,4765.0
2025-04-09,10.57,10.72,10.57,10.72,4405.0
2025-04-10,10.8,10.8,10.8,10.8,5646.0
2025-04-11,10.7,10.85,10.7,10.79,14742.0
2025-04-14,10.46,10.65,10.45,10.65,9646.0
2025-04-15,10.6,10.7,10.5,10.62,220376.0
2025-04-16,10.58,10.82,10.57,10.6,182258.0
2025-04-17,10.6,10.61,10.6,10.6,1377.0
2025-04-21,10.62,10.8,10.62,10.8,2734.0
2025-04-22,10.84,10.85,10.62,10.62,4386.0
2025-04-23,12.52,17.83,12.52,16.5,18028822.0
2025-04-24,19.2,39.29,19.2,24.8,53705610.0
2025-04-25,29.435,38.88,28.19,31.5,27585822.0
2025-04-28,32.5,35.0,28.81,31.06,6261634.0
2025-04-29,32.0,34.5,30.28,32.74,4939340.0
2025-04-30,31.49,46.66,30.5,42.13,15149835.0
2025-05-01,47.5,59.75,46.18,50.0,12288014.0
2025-05-02,56.97,57.88,42.62,47.0,7971171.0
2025-05-05,45.0,45.87,30.18,33.9,11577557.0
2025-05-06,31.12,33.9,27.53,29.3,5277368.0
2025-05-07,31.895,35.4899,31.0,31.91,3750695.0
2025-05-08,32.3851,38.55,32.31,34.14,5303796.0
2025-05-09,34.88,35.2,30.2014,31.51,2737611.0
2025-05-12,31.0,31.2,27.8,28.06,2415216.0
2025-05-13,29.31,32.0,28.5,29.84,1831066.0
2025-05-14,30.97,33.32,29.1,30.78,1951072.0
2025-05-15,30.756,35.3799,29.75,34.1,1708364.0
2025-05-16,33.8,34.39,31.06,32.88,1217322.0
2025-05-19,32.4,37.68,31.5901,36.34,2665494.0
2025-05-20,37.99,47.8426,36.5,47.58,4411466.0
2025-05-21,49.05,49.6196,42.16,43.06,3359273.0
2025-05-22,48.5,53.0,45.5,49.95,3589044.0
2025-05-23,45.74,52.0,45.59,46.5,2006216.0
2025-05-27,48.18,48.19,38.15,39.01,2681665.0
2025-05-28,40.89,42.94,39.58,40.12,1270167.0
2025-05-29,40.31,44.5,39.06,42.11,1608559.0
2025-05-30,41.47,44.0,39.35,40.33,1025754.0
2025-06-02,38.5,43.5,37.9,43.22,887505.0
2025-06-03,45.9,46.96,43.57,46.96,1139300.0
2025-06-04,47.8,47.8,44.5,45.7,559760.0
2025-06-05,45.0,45.0,37.0001,40.22,1281581.0
2025-06-06,40.45,43.25,39.22,40.01,921864.0
2025-06-09,41.04,41.75,34.88,37.98,1521407.0
2025-06-10,38.03,38.85,36.8,37.05,562943.0
2025-06-11,37.0,39.71,36.6548,37.58,766442.0
2025-06-12,36.5,37.46,35.0,35.1,388008.0
2025-06-13,34.11,38.455,34.0,36.56,603809.0
2025-06-16,38.35,38.35,35.69,35.69,513607.0
2025-06-17,35.53,36.2999,34.0006,34.96,438591.0
2025-06-18,35.85,35.85,33.2,33.55,395812.0
2025-06-20,35.0,35.0,32.12,33.2,586208.0
2025-06-23,32.5,32.91,30.01,31.315,728215.0
2025-06-24,32.49,32.9779,30.0,31.13,621459.0
2025-06-25,30.65,31.0,27.88,30.15,752022.0
2025-06-26,30.46,30.74,27.2,28.16,899046.0
2025-06-27,28.43,31.34,28.3597,28.75,544171.0
2025-06-30,29.1,29.9,26.8,27.79,720392.0
2025-07-01,26.7,28.1126,25.7,27.115,618238.0
2025-07-02,27.3,31.94,26.8,31.58,711508.0
2025-07-03,31.08,31.69,29.5001,29.675,473508.0
2025-07-07,29.57,29.57,27.2901,27.69,463389.0
2025-07-08,28.5,31.0,28.4001,30.12,479028.0
2025-07-09,31.76,32.1799,29.27,31.45,706342.0
2025-07-10,31.5,34.5,31.0187,34.27,894329.0
2025-07-11,37.6,39.69,35.1,36.0,1720591.0
2025-07-14,38.2,41.7499,36.9,37.87,1322827.0
2025-07-15,38.5,38.9,33.4,33.58,1281817.0
2025-07-16,34.7,35.98,33.28,35.24,846691.0
