Date,Open,High,Low,Close,Volume
2024-02-08,4.43,5.38,4.25,5.2,378326.0
2024-02-09,5.22,5.39,4.7001,5.16,68897.0
2024-02-12,5.15,5.5,5.0,5.5,35748.0
2024-02-13,6.05,6.05,5.27,5.64,48443.0
2024-02-14,5.54,5.98,5.35,5.36,102772.0
2024-02-15,5.56,5.71,5.41,5.47,17139.0
2024-02-16,5.55,5.55,5.12,5.36,16874.0
2024-02-20,5.35,5.79,5.11,5.43,37625.0
2024-02-21,5.3,5.3075,5.115,5.15,12760.0
2024-02-22,5.35,5.35,5.08,5.165,6113.0
2024-02-23,5.235,5.3,4.95,4.96,11604.0
2024-02-26,5.03,5.04,4.8101,4.85,7909.0
2024-02-27,4.78,4.78,4.492,4.7,12674.0
2024-02-28,4.81,5.02,4.56,4.7,14057.0
2024-02-29,4.82,4.925,4.52,4.52,3864.0
2024-03-01,4.64,4.76,4.01,4.05,20986.0
2024-03-04,4.3,4.3,4.01,4.1,11462.0
2024-03-05,4.24,4.46,4.1,4.1,6075.0
2024-03-06,4.22,4.22,4.1,4.11,5414.0
2024-03-07,4.19,4.57,4.19,4.3,18166.0
2024-03-08,4.35,4.41,4.31,4.32,2776.0
2024-03-11,4.4354,4.4354,4.16,4.28,16710.0
2024-03-12,4.15,4.2,4.15,4.2,770.0
2024-03-13,4.29,4.2999,4.11,4.11,3631.0
2024-03-14,4.1375,4.1375,3.76,3.8,10968.0
2024-03-15,3.9,4.0,3.55,3.63,4480.0
2024-03-18,3.7499,3.75,3.61,3.61,2205.0
2024-03-19,3.55,4.0,3.51,3.89,9350.0
2024-03-20,3.75,3.75,3.69,3.7,790.0
2024-03-21,3.7,3.79,3.65,3.65,855.0
2024-03-22,3.75,4.05,3.74,3.74,7193.0
2024-03-25,3.64,3.73,3.64,3.65,1656.0
2024-03-26,3.65,3.98,3.65,3.75,11946.0
2024-03-27,3.75,3.75,3.65,3.65,7709.0
2024-03-28,3.66,3.675,3.5,3.58,4612.0
2024-04-01,3.5,3.55,3.5,3.5,685.0
2024-04-02,3.5,3.525,3.385,3.385,3716.0
2024-04-03,3.4301,3.4301,3.36,3.36,349.0
2024-04-04,3.31,3.32,3.26,3.32,2339.0
2024-04-05,3.31,3.34,3.31,3.34,550.0
2024-04-08,3.3101,3.36,3.3101,3.3121,1768.0
2024-04-09,3.31,3.31,3.0301,3.15,8101.0
2024-04-10,3.16,3.16,3.12,3.12,5366.0
2024-04-11,3.0773,3.19,3.0773,3.19,1064.0
2024-04-12,3.2048,3.2048,3.2048,3.2048,340.0
2024-04-15,3.2001,3.24,3.2001,3.24,254.0
2024-04-16,3.2,3.2,3.05,3.1,1196.0
2024-04-17,3.1,3.1,3.05,3.05,3494.0
2024-04-18,3.0301,3.08,2.91,2.91,2691.0
2024-04-19,2.92,2.95,2.79,2.8501,11237.0
2024-04-22,2.85,2.86,2.85,2.86,413.0
2024-04-23,2.8754,2.879,2.87,2.879,2109.0
2024-04-24,2.85,2.85,2.85,2.85,117.0
2024-04-25,2.85,2.85,2.85,2.85,422.0
2024-04-26,2.9,2.9,2.85,2.9,903.0
2024-04-30,2.85,2.8999,2.85,2.8999,1141.0
2024-05-02,2.85,2.85,2.85,2.85,953.0
2024-05-03,2.9,2.99,2.9,2.932,5726.0
2024-05-06,2.95,2.95,2.91,2.91,619.0
2024-05-07,2.91,2.92,2.86,2.87,7037.0
2024-05-08,2.85,2.8689,2.85,2.8689,874.0
2024-05-09,2.87,2.87,2.87,2.87,585.0
2024-05-10,2.93,2.94,2.9,2.9,1692.0
2024-05-13,2.94,2.97,2.9,2.9001,1173.0
2024-05-14,2.8658,3.03,2.86,2.86,5914.0
2024-05-15,2.86,2.9,2.85,2.9,2614.0
2024-05-16,2.9,2.9,2.85,2.875,5128.0
2024-05-17,2.9,2.9,2.88,2.9,2279.0
2024-05-20,2.5,3.0799,2.5,2.9975,19625.0
2024-05-21,2.99,2.99,2.893,2.97,6790.0
2024-05-22,2.93,2.93,2.92,2.92,1407.0
2024-05-23,2.91,2.98,2.87,2.98,1497.0
2024-05-24,2.931,2.942,2.931,2.942,1214.0
2024-05-28,2.9,2.91,2.6,2.62,6601.0
2024-05-29,2.58,2.58,2.58,2.58,367.0
2024-05-30,2.65,2.81,2.56,2.75,7334.0
2024-05-31,2.71,2.72,2.7,2.71,1836.0
2024-06-03,2.67,2.67,2.61,2.61,3995.0
2024-06-04,2.68,2.745,2.67,2.73,4339.0
2024-06-05,2.75,2.85,2.75,2.85,3055.0
2024-06-06,2.87,2.8994,2.87,2.8994,1011.0
2024-06-10,2.94,2.94,2.63,2.68,4366.0
2024-06-12,2.65,2.65,2.65,2.65,760.0
2024-06-13,2.6905,2.7,2.6905,2.7,252.0
2024-06-14,2.8107,2.89,2.31,2.66,13140.0
2024-06-17,2.66,2.934,2.33,2.4,7105.0
2024-06-20,2.4,2.4,2.4,2.4,109.0
2024-06-21,2.4,2.45,2.28,2.3,5876.0
2024-06-24,2.35,2.35,2.35,2.35,309.0
2024-06-25,2.35,2.35,2.35,2.35,204.0
2024-06-26,2.45,2.45,2.15,2.15,9547.0
2024-06-27,2.175,2.195,2.0501,2.15,7469.0
2024-06-28,2.15,2.15,2.15,2.15,250.0
2024-07-01,2.15,2.15,2.15,2.15,123.0
2024-07-02,1.75,1.75,1.55,1.66,46763.0
2024-07-03,1.67,1.67,1.66,1.66,1015.0
2024-07-05,1.66,1.66,1.64,1.64,519.0
2024-07-08,1.69,1.75,1.602,1.75,8388.0
