Date,Open,High,Low,Close,Volume
2024-10-08,4.5,11.1094,4.41,6.05,6565106.0
2024-10-09,5.98,8.74,3.71,3.93,3396754.0
2024-10-10,3.7,4.0,3.02,3.25,837640.0
2024-10-11,2.96,3.33,2.75,2.8,208129.0
2024-10-14,2.59,2.9338,2.53,2.83,289730.0
2024-10-15,2.8,3.3213,2.76,3.05,417903.0
2024-10-16,2.92,3.41,2.7001,3.31,194095.0
2024-10-17,3.37,5.2931,3.14,3.75,1384761.0
2024-10-18,3.51,4.77,3.51,4.4,210008.0
2024-10-21,4.33,4.86,4.31,4.6,329416.0
2024-10-22,4.47,4.52,3.9007,4.4,456235.0
2024-10-23,4.25,5.73,4.13,5.16,543519.0
2024-10-24,4.92,5.5,4.5423,4.88,449569.0
2024-10-25,4.97,5.3,4.61,4.66,197673.0
2024-10-28,4.5,5.4,4.3,5.25,710261.0
2024-10-29,5.26,6.32,4.96,6.17,436014.0
2024-10-30,6.21,6.35,5.2571,5.39,243780.0
2024-10-31,5.51,5.82,4.69,4.91,144337.0
2024-11-01,4.9,5.3,4.7,4.72,95335.0
2024-11-04,4.77,5.1212,4.2032,4.72,107259.0
2024-11-05,4.89,5.4251,4.77,4.98,188293.0
2024-11-06,4.85,5.37,4.85,4.98,90154.0
2024-11-07,5.18,7.3,5.0271,6.8,480027.0
2024-11-08,7.15,7.19,6.22,6.63,83481.0
2024-11-11,6.58,6.88,6.22,6.34,47455.0
2024-11-12,6.29,7.778,6.12,6.34,260792.0
2024-11-13,6.12,6.7899,5.66,5.9,98885.0
2024-11-14,5.58,6.635,5.5515,6.34,85840.0
2024-11-15,6.43,6.48,5.99,6.385,35596.0
2024-11-18,6.5,7.99,6.3,7.64,307237.0
2024-11-19,7.23,9.2,6.86,8.63,499693.0
2024-11-20,8.61,9.19,4.4,4.56,816932.0
2024-11-21,7.01,11.45,0.77,1.1,40473245.0
2024-11-22,2.06,2.59,1.57,1.84,107468324.0
2024-11-25,1.75,1.75,1.45,1.45,4509678.0
2024-11-26,1.61,1.62,1.42,1.49,1773292.0
2024-11-27,1.57,1.57,1.16,1.27,1828400.0
2024-11-29,1.52,1.521,1.33,1.41,8710290.0
2024-12-02,1.38,1.41,1.27,1.28,1393219.0
2024-12-03,1.27,1.3602,1.18,1.29,939065.0
2024-12-04,1.39,1.39,1.2319,1.3,472078.0
2024-12-05,1.32,1.36,1.27,1.31,563908.0
2024-12-06,1.36,1.38,1.3,1.3,494970.0
2024-12-09,1.285,1.32,1.21,1.24,498956.0
2024-12-10,1.28,1.28,1.14,1.17,590847.0
2024-12-11,1.1,1.14,0.935,1.02,953195.0
2024-12-12,1.01,1.0478,1.0,1.0,249353.0
2024-12-13,1.04,1.04,0.97,0.99,242261.0
2024-12-16,0.9,0.9409,0.8244,0.8381,509555.0
2024-12-17,0.8381,0.86,0.8,0.821513,261004.0
2024-12-18,0.8603,0.87,0.806,0.828,329982.0
2024-12-19,0.802,0.8511,0.6122,0.68,718413.0
2024-12-20,0.6547,0.72,0.6547,0.72,232395.0
2024-12-23,0.73,0.79,0.72,0.7446,328580.0
2024-12-24,0.71,0.7771,0.71,0.748,232417.0
2024-12-26,0.735,2.57,0.729,1.38,52108908.0
2024-12-27,1.41,1.65,1.24,1.31,4151174.0
2024-12-30,1.38,1.38,1.11,1.15,1905602.0
2024-12-31,1.1,1.1197,0.92,0.99,1002666.0
2025-01-02,1.19,1.19,1.03,1.17,1522927.0
2025-01-03,1.16,1.28,1.04,1.15,1720641.0
2025-01-06,1.15,1.24,1.11,1.17,919193.0
2025-01-07,1.11,1.15,1.06,1.1,591394.0
2025-01-08,1.05,1.09,0.95,1.03,684016.0
2025-01-10,1.05,1.05,0.98,1.03,329611.0
2025-01-13,0.9894,1.005,0.901,0.95,337509.0
2025-01-14,0.921,0.965,0.9021,0.9101,230984.0
2025-01-15,0.9106,1.15,0.85771,1.06,2308236.0
2025-01-16,0.995,1.0,0.9,0.9568,444374.0
2025-01-17,0.9602,1.19,0.9602,1.03,1115478.0
2025-01-21,0.9825,1.02,0.97,1.01,319904.0
2025-01-22,0.9812,0.99,0.9,0.9601,354438.0
2025-01-23,0.9728,1.16,0.9,1.06,1730009.0
2025-01-24,0.9905,1.09,0.96,1.0,386191.0
2025-01-27,0.97,1.02,0.95,0.9631,238525.0
2025-01-28,0.97,0.98,0.92,0.95,212092.0
2025-01-29,0.96,0.975,0.919999,0.9501,220393.0
2025-01-30,0.9799,0.9799,0.92,0.9298,130001.0
2025-01-31,0.96,1.05,0.916,0.9836,375760.0
2025-02-03,0.95,1.05,0.9,0.9355,200248.0
2025-02-04,0.8985,0.98,0.891906,0.96,174460.0
2025-02-05,0.9687,0.975,0.93,0.9522,140961.0
2025-02-06,0.95,0.97,0.9127,0.95,113354.0
2025-02-07,0.9215,0.98,0.9002,0.94,262491.0
2025-02-10,0.92,0.94,0.88,0.903,216906.0
2025-02-11,0.901,0.92,0.859,0.88,127179.0
2025-02-12,0.88,0.899799,0.8601,0.87,156203.0
2025-02-13,0.8698,0.89,0.81,0.859,192819.0
2025-02-14,0.8332,0.8705,0.6512,0.7801,331942.0
2025-02-18,0.83,0.88,0.78,0.863,174286.0
2025-02-19,0.8536,0.88,0.7905,0.8519,177831.0
2025-02-20,0.85,0.93,0.8111,0.8706,197033.0
2025-02-21,0.83,0.8706,0.8101,0.812,214641.0
2025-02-24,0.8207,0.828,0.77,0.788,94133.0
2025-02-25,0.81,0.85,0.77,0.846,123547.0
2025-02-26,0.8,0.85,0.7705,0.8178,79054.0
2025-02-27,0.816,1.08,0.748,1.04,1253551.0
2025-02-28,0.8947,0.8947,0.7136,0.8101,253342.0
2025-03-03,0.7908,0.7999,0.74,0.7401,100184.0
2025-03-04,0.73,0.7994,0.71,0.763,68659.0
2025-03-05,0.8,0.82,0.751,0.808,76926.0
2025-03-06,0.808,0.8495,0.780138,0.8007,86667.0
2025-03-07,0.81,0.8335,0.7562,0.7724,136505.0
2025-03-10,0.775,0.775,0.715,0.749,66758.0
2025-03-11,0.76,0.89,0.7301,0.859,257660.0
2025-03-12,0.86,0.86,0.78,0.8238,56524.0
2025-03-13,0.78,0.89,0.77,0.8322,62169.0
2025-03-14,0.87,0.88,0.81001,0.87,60607.0
2025-03-17,0.8439,0.91,0.82,0.8817,71370.0
2025-03-18,0.8303,0.8692,0.8151,0.8159,37193.0
