Date,Open,High,Low,Close,Volume
2023-07-18,1.85,1.89,1.85,1.855,3507
2023-07-19,1.88,1.89,1.85,1.89,13764
2023-07-20,1.8001,1.87,1.8001,1.82,1491
2023-07-21,1.85,1.88,1.85,1.85,3460
2023-07-24,1.86,1.88,1.8,1.8,9125
2023-07-25,1.83,1.89,1.83,1.87,1804
2023-07-26,1.89,1.94,1.885,1.94,3371
2023-07-27,1.93,1.94,1.852,1.87,4107
2023-07-28,1.86,1.9,1.83,1.83,9358
2023-07-31,1.875,1.875,1.83,1.83,510
2023-08-01,1.8265,1.8265,1.77,1.77,13024
2023-08-02,1.8,1.84,1.67,1.76,12442
2023-08-03,1.79,1.845,1.76,1.81,9550
2023-08-04,1.79,1.92,1.79,1.92,1506
2023-08-07,1.92,1.92,1.8624,1.8624,410
2023-08-08,1.9499,1.97,1.82,1.82,21874
2023-08-09,1.78,1.88,1.7,1.84,5371
2023-08-10,1.78,1.78,1.72,1.77,2219
2023-08-11,1.7,1.9255,1.7,1.81,2893
2023-08-14,1.79,1.99,1.79,1.97,9377
2023-08-15,1.95,1.95,1.7555,1.845,9333
2023-08-16,1.81,1.82,1.7317,1.7317,1787
2023-08-17,1.855,2.02,1.8,1.87,6423
2023-08-18,1.72,1.98,1.72,1.8,3161
2023-08-21,1.85,1.94,1.76,1.905,6243
2023-08-22,1.93,2.01,1.91,1.91,1910
2023-08-23,1.915,2.03,1.8601,1.99,2731
2023-08-24,1.92,2.0,1.92,1.98,2815
2023-08-25,1.96,2.04,1.915,2.0,1909
2023-08-28,2.0,2.16,2.0,2.1,11295
2023-08-29,2.15,2.15,2.03,2.12,9253
2023-08-30,2.1899,2.1899,1.96,1.96,3564
2023-08-31,1.97,2.1,1.97,2.0338,2852
2023-09-01,2.09,2.09,1.98,1.98,1372
2023-09-05,1.95,1.95,1.95,1.95,933
2023-09-06,1.89,1.891,1.85,1.8832,5040
2023-09-07,2.01,2.01,1.855,1.855,2545
2023-09-08,2.0269,2.0269,1.8451,1.9,2985
2023-09-11,1.96,1.96,1.96,1.96,899
2023-09-12,1.83,1.98,1.83,1.88,5209
2023-09-13,1.97,1.97,1.86,1.95,4076
2023-09-14,2.0,2.0,1.87,1.95,3216
2023-09-15,1.99,1.99,1.835,1.99,11396
2023-09-18,2.0,2.0,1.915,1.94,5065
2023-09-19,1.89,1.92,1.8,1.92,11276
2023-09-20,1.88,2.04,1.88,1.955,3261
2023-09-21,2.03,2.03,1.87,1.944,8170
2023-09-22,1.99,1.99,1.9,1.95,8367
2023-09-25,1.945,1.9703,1.94,1.94,913
2023-09-26,1.9001,1.9001,1.825,1.8856,2509
2023-09-27,1.87,1.87,1.87,1.87,366
2023-09-28,1.8601,1.9199,1.76,1.84,3081
2023-09-29,1.94,1.94,1.93,1.93,1333
2023-10-02,1.85,1.93,1.76,1.91,9611
2023-10-03,1.7801,1.875,1.7801,1.875,521
2023-10-04,1.87,1.87,1.83,1.83,988
2023-10-05,1.83,1.83,1.83,1.83,1417
2023-10-06,1.83,1.92,1.81,1.81,8402
2023-10-09,1.79,1.805,1.75,1.75,6872
2023-10-10,1.8,1.81,1.8,1.81,538
2023-10-11,1.82,1.82,1.82,1.82,490
2023-10-12,1.86,1.86,1.86,1.86,310
2023-10-13,1.8983,1.8983,1.72,1.85,8907
2023-10-16,1.91,1.99,1.8,1.82,6843
2023-10-17,1.8,1.81,1.73,1.73,2025
2023-10-18,1.8,1.8,1.8,1.8,444
2023-10-19,1.93,1.93,1.93,1.93,1036
2023-10-20,1.97,1.97,1.78,1.805,1497
2023-10-23,1.89,1.935,1.89,1.935,316
2023-10-25,1.8699,1.8699,1.7501,1.8,11833
2023-10-26,1.75,1.9,1.75,1.8756,1941
2023-10-27,1.88,1.88,1.88,1.88,399
2023-10-30,1.85,1.86,1.68,1.69,8167
2023-10-31,1.69,1.81,1.69,1.7247,12221
2023-11-01,1.72,1.79,1.72,1.79,725
2023-11-02,1.78,1.82,1.77,1.82,1050
2023-11-03,1.8646,1.9,1.7501,1.88,2418
2023-11-06,1.75,1.86,1.7,1.76,9129
2023-11-07,1.84,1.84,1.72,1.72,5062
2023-11-09,1.71,1.73,1.51,1.54,16688
2023-11-10,1.6,1.71,1.55,1.6,15957
2023-11-13,1.53,1.6,1.49,1.58,11315
2023-11-14,1.72,1.78,1.6999,1.71,5814
2023-11-15,1.83,1.87,1.75,1.85,2085
2023-11-16,1.8676,1.92,1.86,1.92,7267
2023-11-17,1.77,1.93,1.77,1.83,2585
2023-11-20,1.8947,1.8947,1.8886,1.8886,562
2023-11-21,1.87,1.89,1.87,1.89,1826
2023-11-22,1.7719,1.93,1.7719,1.93,860
2023-11-24,1.93,1.93,1.9105,1.925,1427
2023-11-27,1.88,2.03,1.88,1.88,5203
2023-11-28,2.07,2.09,1.9999,2.0,3199
2023-11-29,2.01,2.03,1.8901,1.9,3459
2023-11-30,2.0347,2.0347,1.9,1.95,7277
2023-12-01,1.9101,1.9101,1.91,1.91,1921
2023-12-04,1.9019,1.94,1.88,1.94,1640
2023-12-05,1.91,1.91,1.88,1.91,2647
2023-12-06,1.88,1.9082,1.88,1.8903,1235
2023-12-07,1.9101,1.9251,1.9101,1.92,1318
2023-12-08,1.92,1.92,1.9,1.91,5196
2023-12-11,1.84,1.905,1.84,1.8903,2949
2023-12-12,1.88,1.92,1.84,1.84,8426
2023-12-13,1.92,2.02,1.88,1.88,14884
2023-12-14,2.0,2.0589,1.9194,2.005,19051
2023-12-15,2.06,2.08,1.98,1.98,7744
2023-12-18,1.9,2.15,1.9,2.03,14811
2023-12-19,2.0299,2.03,2.0299,2.03,2597
2023-12-20,2.03,2.03,1.94,2.0,3916
2023-12-21,2.03,2.03,1.9701,2.01,4909
2023-12-22,2.06,2.15,2.03,2.11,8961
2023-12-26,2.08,2.1643,1.97,2.09,18267
2023-12-27,2.1,2.1776,2.01,2.16,7152
2023-12-28,2.13,2.21,2.0061,2.1999,17611
2023-12-29,2.21,2.46,2.21,2.4501,19085
2024-01-02,2.4,2.45,2.22,2.44,30597
2024-01-03,2.344,2.42,2.3401,2.42,6812
2024-01-04,2.42,2.45,2.4,2.44,5018
2024-01-05,2.35,2.54,2.35,2.5,8383
2024-01-08,2.5,2.539,2.4199,2.52,7672
2024-01-09,2.49,2.55,2.44,2.55,3600
2024-01-10,2.47,2.57,2.47,2.5499,2974
2024-01-11,2.46,2.75,2.45,2.51,19140
2024-01-12,2.48,2.74,2.456,2.61,21202
2024-01-16,2.63,2.6923,2.5,2.51,13309
2024-01-17,2.5757,2.69,2.5757,2.69,3098
2024-01-18,2.58,2.75,2.5401,2.65,5312
2024-01-19,2.62,2.66,2.53,2.63,8129
2024-01-22,2.59,2.66,2.47,2.48,5037
2024-01-23,2.55,2.62,2.49,2.5,17642
2024-01-24,2.58,2.61,2.5,2.57,2201
2024-01-25,2.59,2.66,2.54,2.66,6303
2024-01-26,2.65,2.73,2.5604,2.62,2390
2024-01-29,2.5774,2.68,2.515,2.63,8069
2024-01-30,2.74,2.75,2.64,2.64,2377
2024-01-31,2.64,2.7228,2.5,2.7228,7628
2024-02-01,2.75,2.75,2.59,2.716,3180
2024-02-02,2.695,2.75,2.6931,2.75,1865
2024-02-06,2.62,2.62,2.02,2.43,30173
2024-02-07,2.6,2.6,2.4,2.4,3707
2024-02-08,2.36,2.52,2.31,2.51,7646
2024-02-09,2.59,2.59,2.545,2.545,909
2024-02-12,2.55,2.55,2.43,2.43,1941
2024-02-13,2.3999,2.57,2.39,2.5,2510
2024-02-14,2.41,2.58,2.41,2.55,6249
2024-02-15,2.57,2.57,2.42,2.47,3887
2024-02-16,2.42,2.54,2.39,2.42,8093
2024-02-20,2.51,2.58,2.375,2.51,12449
2024-02-21,2.57,2.58,2.56,2.58,1520
2024-02-22,2.5,2.7,2.4543,2.7,4818
2024-02-23,2.75,2.75,2.58,2.7,12678
2024-02-26,2.67,2.75,2.6,2.72,2351
2024-02-27,2.705,2.75,2.705,2.72,2851
2024-02-28,2.75,2.81,2.73,2.73,16421
2024-02-29,2.76,2.775,2.69,2.73,6543
2024-03-01,2.722,2.88,2.67,2.67,8577
2024-03-04,2.71,2.76,2.63,2.64,7109
2024-03-05,2.62,2.83,2.62,2.71,5364
2024-03-06,2.61,2.79,2.61,2.72,2054
2024-03-07,2.6429,2.86,2.6429,2.8,3154
2024-03-08,2.8482,2.8482,2.82,2.83,891
2024-03-11,2.98,3.0,2.71,2.76,9108
2024-03-12,2.88,2.88,2.7164,2.76,2143
2024-03-13,2.8242,2.9501,2.79,2.79,11954
2024-03-14,2.92,2.9201,2.67,2.79,3465
2024-03-15,2.67,2.93,2.67,2.71,8388
2024-03-18,2.72,2.8694,2.68,2.68,10018
2024-03-19,2.72,2.82,2.72,2.795,1485
2024-03-20,2.87,2.87,2.61,2.79,12573
2024-03-22,2.88,2.88,2.619,2.78,13426
2024-03-26,2.78,2.78,2.63,2.75,3383
2024-03-27,2.6,2.8,2.6,2.8,17180
2024-03-28,2.79,2.8,2.5,2.8,24992
2024-04-01,2.8,2.84,2.52,2.82,13570
2024-04-02,2.65,2.72,2.41,2.58,22809
2024-04-03,2.42,2.51,2.17,2.18,20893
2024-04-04,2.325,2.325,2.17,2.17,2785
2024-04-05,2.215,2.2555,2.19,2.19,2163
2024-04-08,2.22,2.22,2.17,2.17,1046
2024-04-09,2.2,2.215,2.11,2.11,2339
2024-04-10,2.08,2.275,2.08,2.275,5029
2024-04-11,2.26,2.26,2.13,2.23,1947
2024-04-12,2.24,2.24,2.17,2.1901,3704
2024-04-15,2.02,2.2486,2.0,2.02,9490
2024-04-16,2.0,2.17,1.99,1.99,5933
2024-04-17,2.12,2.14,1.96,1.96,9386
2024-04-18,2.01,2.07,1.9,1.95,3485
2024-04-19,2.02,2.04,1.9418,1.96,4364
2024-04-22,1.915,2.08,1.9108,1.96,10629
2024-04-23,1.96,1.96,1.92,1.92,1676
2024-04-24,1.88,1.91,1.88,1.91,3068
2024-04-25,1.93,1.9301,1.87,1.9,4402
2024-04-26,1.87,1.9863,1.8596,1.9599,4732
2024-04-29,1.9946,2.0295,1.8806,1.8806,1595
2024-05-01,1.95,2.01,1.85,1.8799,11726
2024-05-02,1.8663,1.9,1.8663,1.88,1257
2024-05-03,1.98,1.98,1.87,1.88,1748
2024-05-06,1.87,1.9,1.81,1.81,3919
2024-05-07,1.895,1.895,1.76,1.76,17925
2024-05-08,1.76,1.9065,1.76,1.83,4315
2024-05-09,1.78,1.99,1.7799,1.8656,6863
2024-05-10,1.95,1.95,1.78,1.7801,6465
2024-05-13,1.76,1.9,1.69,1.69,14809
2024-05-14,1.67,1.805,1.67,1.785,2591
2024-05-15,1.785,1.785,1.76,1.76,2244
2024-05-16,1.73,1.7499,1.69,1.71,5157
2024-05-17,1.68,1.74,1.68,1.71,2779
2024-05-20,1.73,1.8425,1.62,1.64,8351
2024-05-21,1.61,1.7499,1.61,1.74,15627
2024-05-22,1.77,1.78,1.67,1.7,5707
2024-05-23,1.71,1.71,1.68,1.68,849
2024-05-24,1.68,1.68,1.65,1.65,1044
2024-05-28,1.72,1.72,1.62,1.63,4637
2024-05-29,1.64,1.6401,1.63,1.64,3163
2024-05-30,1.7173,1.7199,1.6401,1.66,3942
2024-05-31,1.65,1.73,1.65,1.67,4818
2024-06-03,1.67,1.76,1.66,1.74,5159
2024-06-04,1.64,1.79,1.64,1.7899,10607
2024-06-05,1.7901,1.83,1.7799,1.815,8767
2024-06-06,1.8199,1.8199,1.7566,1.81,1313
2024-06-07,1.7752,1.82,1.7601,1.78,1359
2024-06-10,1.83,1.83,1.83,1.83,583
2024-06-11,1.82,1.834,1.8001,1.834,1531
2024-06-12,1.775,1.775,1.775,1.775,315
2024-06-13,1.87,1.905,1.87,1.9,1322
2024-06-14,1.8955,1.9247,1.7801,1.83,11105
2024-06-17,1.99,1.99,1.81,1.9,6684
2024-06-18,1.81,1.9101,1.7,1.7301,6460
2024-06-20,1.74,1.8243,1.74,1.8047,5219
2024-06-21,1.74,1.74,1.65,1.66,3645
2024-06-25,1.65,1.66,1.65,1.66,919
2024-06-26,1.715,1.73,1.66,1.66,4103
