Date,Open,High,Low,Close,Volume
2024-03-27,12.57,56.0,9.44,44.0,4294545.0
2024-03-28,33.0,48.0,28.1001,33.06,613657.0
2024-04-01,29.0,30.52,17.0,18.09,313826.0
2024-04-02,18.53,20.95,13.5806,15.5,273851.0
2024-04-03,13.76,13.76,5.0,6.86,3160831.0
2024-04-04,6.54,6.67,5.55,5.73,869328.0
2024-04-05,11.03,11.9,7.5,8.16,28609089.0
2024-04-08,7.88,8.24,6.26,7.0,1699718.0
2024-04-09,6.3,6.58,5.87,6.37,1372550.0
2024-04-10,6.02,8.0,6.01,7.4,3584881.0
2024-04-11,7.33,7.45,6.49,7.02,710290.0
2024-04-12,6.27,6.45,5.9,6.06,937610.0
2024-04-15,5.9,5.9999,5.53,5.57,365604.0
2024-04-16,5.61,5.61,4.84,4.97,641711.0
2024-04-17,4.92,5.38,4.901,5.02,385661.0
2024-04-18,4.98,5.14,4.76,4.98,313364.0
2024-04-19,4.93,5.29,3.8,3.9,725555.0
2024-04-22,4.21,4.44,3.91,4.4,463901.0
2024-04-23,4.52,4.89,4.41,4.62,474823.0
2024-04-24,4.75,5.1,4.48,4.83,267786.0
2024-04-25,4.67,4.7799,4.52,4.71,230099.0
2024-04-26,4.77,5.0656,4.71,4.78,204490.0
2024-04-29,4.89,4.93,4.71,4.81,165882.0
2024-04-30,4.83,4.9,4.66,4.72,195494.0
2024-05-01,4.8,5.3846,4.76,5.04,243662.0
2024-05-02,4.92,5.28,4.8008,5.07,159304.0
2024-05-03,5.2,6.14,5.2,6.09,629397.0
2024-05-06,6.2,6.65,6.02,6.59,330916.0
2024-05-07,6.8,7.0,5.8301,6.37,490877.0
2024-05-08,6.3,6.32,5.935,6.02,154598.0
2024-05-09,5.96,6.1,5.79,5.87,149302.0
2024-05-10,5.88,6.03,5.56,5.6,151014.0
2024-05-13,5.69,5.94,5.58,5.77,79827.0
2024-05-14,5.62,5.9,5.45,5.88,242412.0
2024-05-15,5.74,5.82,5.41,5.52,129762.0
