Date,Open,High,Low,Close,Volume
2023-08-14,24.0,25.38,18.565,20.57,485385.0
2023-08-15,19.8,21.5,19.4,21.5,137561.0
2023-08-16,20.5,20.5,17.88,19.44,250236.0
2023-08-17,19.0,19.76,18.7675,19.29,103860.0
2023-08-18,18.6,20.34,18.6,20.07,378530.0
2023-08-21,20.59,21.0,19.96,20.19,32271.0
2023-08-22,20.23,20.39,19.92,20.1,171939.0
2023-08-23,20.12,20.69,19.54,20.5,60455.0
2023-08-24,20.4,20.4,19.51,20.15,131210.0
2023-08-25,20.0,20.13,19.53,20.0,136328.0
2023-08-28,20.22,20.71,19.45,20.4,88320.0
2023-08-29,19.5,20.16,19.5,19.87,44160.0
2023-08-30,19.51,19.75,18.41,18.71,255877.0
2023-08-31,19.0,19.0,17.62,17.81,217482.0
2023-09-01,18.13,18.74,17.67,18.66,156338.0
2023-09-05,18.32,18.9,17.1,17.39,114876.0
2023-09-06,17.44,17.98,16.9,17.17,62273.0
2023-09-07,16.97,17.14,16.5,17.08,147398.0
2023-09-08,16.8,18.2,16.8,17.86,135771.0
2023-09-11,17.69,18.48,17.69,18.37,115438.0
2023-09-12,18.2,18.22,17.79,18.0,76571.0
2023-09-13,18.02,18.12,17.895,17.96,58886.0
2023-09-14,18.23,18.55,17.9,18.45,82648.0
2023-09-15,18.03,19.31,17.16,19.02,97326.0
2023-09-18,18.6,19.16,18.3147,19.01,51095.0
2023-09-19,18.6,19.18,18.6,18.8,44302.0
2023-09-20,18.7,18.9125,18.435,18.48,125544.0
2023-09-21,18.37,18.92,17.95,18.45,70795.0
2023-09-22,18.56,19.01,18.355,18.84,84163.0
2023-09-25,18.93,19.4181,18.72,18.94,219503.0
2023-09-26,18.84,18.92,17.985,18.02,130239.0
2023-09-27,18.0,18.355,17.93,18.21,73190.0
2023-09-28,18.08,18.94,18.08,18.93,16144.0
2023-09-29,18.84,19.16,18.83,18.94,35241.0
2023-10-02,18.81,19.18,18.23,18.26,81658.0
2023-10-03,18.38,18.5,17.76,18.27,49226.0
2023-10-04,18.33,18.43,18.0,18.34,59179.0
2023-10-05,18.21,18.48,18.01,18.1,33538.0
2023-10-06,18.1,18.49,17.93,18.0,60901.0
2023-10-09,17.79,18.19,17.7101,18.0,46006.0
2023-10-10,18.02,18.73,18.0,18.6,35282.0
2023-10-11,18.55,19.1,18.42,19.0,64025.0
2023-10-12,18.97,19.08,18.0,18.87,74912.0
2023-10-13,18.88,19.08,18.535,18.79,62366.0
2023-10-16,18.75,18.89,18.39,18.42,20129.0
2023-10-17,18.38,19.21,18.36,18.56,53971.0
2023-10-18,18.47,18.87,17.89,17.97,51596.0
2023-10-19,18.0,18.89,17.68,17.75,24527.0
2023-10-20,17.66,17.67,17.38,17.63,31407.0
2023-10-23,17.53,18.25,17.445,18.15,19704.0
2023-10-24,18.22,19.08,18.22,18.95,29318.0
2023-10-25,18.77,18.99,18.27,18.43,37457.0
2023-10-26,18.41,18.78,18.03,18.54,32939.0
2023-10-27,18.5019,18.545,18.065,18.38,45253.0
2023-10-30,18.47,19.625,18.2101,18.93,51675.0
2023-10-31,19.0,19.32,18.67,18.98,26875.0
2023-11-01,18.535,19.06,17.9675,18.34,175366.0
2023-11-02,18.54,19.76,18.4451,19.09,78162.0
2023-11-03,19.19,19.58,18.69,19.3,48884.0
2023-11-06,19.1,19.8801,18.965,19.15,96293.0
2023-11-07,19.1525,19.6862,18.8131,19.22,73374.0
2023-11-08,19.595,19.595,19.13,19.49,35988.0
2023-11-09,19.5,21.99,19.27,21.4,93655.0
2023-11-10,21.66,22.0877,19.91,21.27,101359.0
2023-11-13,21.01,21.875,21.01,21.74,69640.0
2023-11-14,22.0,23.47,21.45,23.28,189281.0
2023-11-15,23.52,23.55,22.4,22.99,73206.0
2023-11-16,22.85,23.32,22.655,23.05,59077.0
2023-11-17,23.46,24.05,22.74,24.05,103318.0
2023-11-20,23.79,24.53,23.74,24.53,84597.0
2023-11-21,24.29,24.95,24.16,24.31,96956.0
2023-11-22,24.12,24.54,24.07,24.3,63060.0
2023-11-24,24.6,24.84,24.29,24.84,20400.0
2023-11-27,24.77,25.46,24.57,25.44,121367.0
2023-11-28,25.2,25.4779,24.625,25.0,125065.0
2023-11-29,24.88,26.165,24.88,25.99,92364.0
2023-11-30,26.17,26.395,25.22,25.68,143617.0
2023-12-01,25.31,25.575,24.75,25.04,130323.0
2023-12-04,25.91,27.21,25.1867,26.5,623493.0
2023-12-05,26.25,27.01,25.6341,26.5,257416.0
2023-12-06,26.49,27.85,26.48,27.32,315449.0
2023-12-07,27.54,28.0,27.18,27.7,209183.0
2023-12-08,27.66,29.32,27.66,28.32,186585.0
2023-12-11,28.51,28.91,27.575,27.69,252475.0
2023-12-12,27.8,28.59,27.65,27.68,245277.0
2023-12-13,27.87,29.27,27.52,27.57,362276.0
2023-12-14,27.6,29.055,27.6,28.6,754752.0
2023-12-15,29.01,29.145,28.155,28.53,2494426.0
2023-12-18,28.62,28.68,27.435,27.7,296806.0
2023-12-19,27.52,28.08,27.47,27.81,265919.0
2023-12-20,27.5,29.005,27.48,28.47,231158.0
2023-12-21,28.11,28.73,27.78,28.73,89615.0
2023-12-22,28.45,29.0,28.45,29.0,80397.0
2023-12-26,29.0,29.0,28.74,29.0,54742.0
2023-12-27,29.0,29.03,27.9344,29.0,130894.0
2023-12-28,28.98,29.0,28.6,28.85,86653.0
2023-12-29,28.75,29.0,28.71,28.95,93146.0
2024-01-02,28.88,28.88,27.99,28.36,83701.0
2024-01-03,28.0,28.3124,27.51,27.74,100250.0
2024-01-04,27.75,28.33,27.66,27.93,84476.0
2024-01-05,27.95,28.84,27.86,28.84,106063.0
2024-01-08,29.13,29.2956,28.41,28.49,168657.0
2024-01-09,28.05,28.59,27.875,28.12,53209.0
2024-01-10,27.96,28.55,27.66,28.54,59468.0
2024-01-11,28.41,29.035,28.051,29.0,105436.0
2024-01-12,29.05,29.26,28.51,28.57,47317.0
2024-01-16,28.68,28.93,28.22,28.83,71488.0
2024-01-17,28.39,29.22,28.1571,29.2,80703.0
2024-01-18,29.29,30.22,29.29,29.75,180085.0
2024-01-19,30.06,30.9,29.63,30.9,161986.0
2024-01-22,31.27,31.27,30.65,31.0,135025.0
2024-01-23,31.07,31.59,31.01,31.2,94088.0
2024-01-24,31.66,31.77,31.04,31.25,66056.0
2024-01-25,31.41,31.735,30.85,31.03,56449.0
2024-01-26,31.0,31.175,30.6,31.09,68831.0
2024-01-29,31.23,31.57,30.83,31.01,61671.0
2024-01-30,30.85,31.3,30.1,30.26,100979.0
2024-01-31,30.01,31.25,30.01,30.4,61914.0
2024-02-01,30.86,31.25,30.62,31.14,98041.0
2024-02-02,30.98,31.16,30.47,30.56,56826.0
2024-02-05,30.21,30.72,30.05,30.12,63080.0
2024-02-06,30.21,30.58,30.015,30.29,92727.0
2024-02-07,30.46,31.17,30.38,30.78,53752.0
2024-02-08,30.76,31.01,30.53,30.94,94637.0
2024-02-09,31.0,32.57,30.97,32.57,170867.0
2024-02-12,32.76,33.49,31.93,32.43,139952.0
2024-02-13,32.25,32.4,31.43,31.94,114508.0
2024-02-14,33.05,34.5,32.59,33.56,318712.0
2024-02-15,33.87,34.18,32.74,34.0,284840.0
2024-02-16,33.77,34.22,33.6,33.63,167054.0
2024-02-20,33.78,34.67,33.425,34.67,198628.0
2024-02-21,34.62,34.62,33.54,33.93,88169.0
2024-02-22,34.22,34.81,33.65,34.26,219080.0
2024-02-23,34.29,34.68,33.3,34.5,262941.0
2024-02-26,34.51,35.18,33.93,34.18,227127.0
2024-02-27,34.43,34.54,33.55,33.7,141322.0
2024-02-28,33.49,33.92,32.43,32.61,130215.0
2024-02-29,33.18,33.515,32.75,32.96,333076.0
2024-03-01,33.43,33.43,31.91,32.98,313333.0
2024-03-04,33.13,33.52,32.75,32.89,186479.0
2024-03-05,32.76,33.19,32.39,32.64,152276.0
2024-03-06,33.02,33.29,32.64,32.83,50748.0
2024-03-07,33.11,33.45,32.985,33.22,143700.0
2024-03-08,33.44,34.72,33.34,34.72,128273.0
2024-03-11,34.92,35.0,33.83,34.06,78049.0
2024-03-12,34.01,34.43,33.71,34.28,106755.0
2024-03-13,34.38,34.435,33.745,33.92,94573.0
2024-03-14,33.895,35.2,33.63,33.89,185493.0
2024-03-15,33.72,34.96,33.4486,34.96,354424.0
2024-03-18,35.55,35.55,34.825,35.0,205816.0
2024-03-19,35.0,35.115,34.73,35.01,166576.0
2024-03-20,35.01,35.94,35.01,35.59,349930.0
2024-03-21,35.59,35.92,35.284,35.31,149505.0
2024-03-22,35.22,35.22,34.57,34.8,103738.0
2024-03-25,34.6,35.0521,34.36,34.53,93471.0
2024-03-26,34.83,35.115,34.57,34.6,165226.0
2024-03-27,34.87,34.89,34.4,34.48,176317.0
2024-03-28,34.48,34.715,34.35,34.44,268563.0
2024-04-01,34.55,35.015,34.09,34.23,153303.0
2024-04-02,34.02,34.39,33.49,33.56,145599.0
2024-04-03,33.7,33.91,33.05,33.09,110353.0
2024-04-04,33.45,34.0,33.14,33.47,149775.0
2024-04-05,33.49,33.88,33.23,33.44,227762.0
2024-04-08,33.58,34.39,33.3387,34.38,109153.0
2024-04-09,34.38,34.83,33.77,34.83,84346.0
2024-04-10,34.44,34.44,32.97,33.06,81113.0
2024-04-11,33.28,33.635,32.46,33.39,81591.0
2024-04-12,33.43,33.44,32.85,33.09,62908.0
2024-04-15,33.3,33.85,32.49,33.1,105663.0
2024-04-16,33.09,33.36,32.73,33.18,79278.0
2024-04-17,33.31,33.34,32.74,32.9,79591.0
2024-04-18,32.8,33.05,31.77,32.06,90940.0
2024-04-19,31.89,32.37,31.6894,31.93,163540.0
2024-04-22,32.09,32.26,31.31,31.36,63745.0
2024-04-23,31.3,32.85,31.3,32.52,92349.0
2024-04-24,32.59,33.19,32.54,32.93,94116.0
2024-04-25,32.59,32.64,31.54,32.32,105151.0
2024-04-26,32.28,32.36,31.6,32.03,59643.0
2024-04-29,32.11,32.98,32.11,32.6,85708.0
2024-04-30,32.3,32.67,31.19,31.66,103285.0
2024-05-01,31.45,31.71,30.37,31.16,166730.0
2024-05-02,32.0,34.915,32.0,34.52,272203.0
2024-05-03,37.27,38.99,37.27,38.0,317150.0
2024-05-06,38.57,39.76,38.19,38.5,224006.0
2024-05-07,39.46,40.185,38.62,39.93,395691.0
2024-05-08,40.24,41.09,40.03,40.64,269514.0
2024-05-09,40.5,41.52,40.3,41.0,224699.0
2024-05-10,41.05,41.33,40.52,41.0,159526.0
2024-05-13,41.54,42.61,41.54,42.25,129754.0
2024-05-14,42.7,42.73,42.07,42.52,150990.0
2024-05-15,42.7,43.549,42.06,42.85,292139.0
2024-05-16,43.02,43.4,42.86,43.3,202717.0
2024-05-17,43.42,44.8099,43.15,44.54,222462.0
2024-05-20,43.92,44.6,43.8301,44.14,122793.0
2024-05-21,44.15,44.62,43.49,44.39,143416.0
2024-05-22,44.79,45.15,44.111,44.2,210881.0
2024-05-23,44.47,44.86,43.75,44.39,195367.0
2024-05-24,44.4,44.77,44.13,44.6,298671.0
2024-05-28,44.74,44.94,43.38,43.5,271812.0
2024-05-29,43.09,43.655,42.595,42.9,149536.0
2024-05-30,42.59,44.3,42.59,43.95,191172.0
2024-05-31,44.21,44.21,43.23,43.75,680713.0
2024-06-03,44.0,44.11,42.59,43.45,160751.0
2024-06-04,43.2,43.2,41.81,42.3,124297.0
2024-06-05,42.3,43.02,42.3,42.74,139330.0
2024-06-06,43.04,43.12,41.94,42.62,182252.0
2024-06-07,42.14,42.73,41.61,41.92,150777.0
