Date,Open,High,Low,Close,Volume
2024-01-26,46.0,47.0,44.43,45.0,1850685.0
2024-01-29,44.99,45.5,43.8,44.5,764961.0
2024-01-30,44.53,46.71,44.24,46.45,634894.0
2024-01-31,46.15,46.5,44.195,45.6,312221.0
2024-02-01,45.6,46.55,45.6,46.17,62024.0
2024-02-02,45.9982,45.9982,45.57,45.57,20364.0
2024-02-05,43.95,45.8299,43.95,45.45,111467.0
2024-02-06,46.32,46.3711,46.2,46.25,270956.0
2024-02-07,43.01,46.5,43.01,46.24,417519.0
2024-02-08,46.31,46.7,45.93,45.93,206787.0
2024-02-09,46.25,46.25,45.85,45.85,25207.0
2024-02-12,45.96,45.96,45.86,45.94,55755.0
2024-02-13,45.55,45.92,45.55,45.75,68898.0
2024-02-14,45.0,45.0,44.65,44.76,166575.0
2024-02-15,44.95,45.0,43.9,43.97,327201.0
2024-02-16,44.4,44.4,43.69,43.7,1105.0
2024-02-20,44.0,44.03,43.36,43.45,202468.0
2024-02-21,43.43,43.56,42.01,42.08,102094.0
2024-02-22,41.89,41.89,40.5,40.73,497565.0
2024-02-23,40.35,40.35,38.75,38.75,143596.0
2024-02-26,39.12,39.53,38.74,39.0,101749.0
2024-02-27,40.2,40.68,39.55,40.68,45979.0
2024-02-28,40.57,40.57,40.361,40.57,5673.0
2024-02-29,39.29,39.29,38.0,38.0,59518.0
2024-03-01,38.6,38.6,37.71,38.29,392765.0
2024-03-04,34.88,39.81,34.88,39.24,70831.0
2024-03-05,38.48,39.05,38.47,39.05,16253.0
2024-03-06,38.45,38.99,38.33,38.72,102252.0
2024-03-07,38.51,39.2,38.27,38.27,131629.0
2024-03-08,38.16,38.31,38.16,38.24,896.0
2024-03-11,38.76,39.17,38.76,39.11,1448.0
2024-03-12,38.73,38.9,38.73,38.79,691.0
2024-03-13,38.06,38.06,37.69,37.69,123950.0
2024-03-14,37.41,37.41,35.16,36.03,207804.0
2024-03-15,36.24,36.45,34.55,36.12,472308.0
2024-03-18,38.23,38.23,37.15,37.93,27076.0
2024-03-19,38.41,39.55,37.9601,39.28,9686.0
2024-03-20,38.07,38.75,37.99,38.5,2726.0
2024-03-21,38.77,39.72,38.63,39.65,2200.0
2024-03-22,39.44,40.42,39.44,40.42,2440.0
2024-03-25,39.94,41.34,39.94,40.79,119480.0
2024-03-26,40.99,41.5,40.89,41.23,15456.0
2024-03-27,40.83,42.76,40.8,42.17,797226.0
2024-03-28,42.3,45.51,42.3,45.08,1481880.0
2024-04-01,45.06,46.0,44.56,44.79,200809.0
2024-04-02,44.57,44.57,43.52,43.68,23447.0
2024-04-03,43.31,43.83,43.24,43.24,97499.0
2024-04-04,43.27,43.37,42.85,42.94,5439.0
2024-04-05,43.0,43.0,42.52,42.52,3421.0
2024-04-08,42.46,43.7,42.33,43.17,4207.0
2024-04-09,41.41,43.78,41.41,43.16,4322.0
2024-04-10,42.93,43.33,42.67,43.02,4589.0
2024-04-11,42.81,43.65,42.48,43.34,3856.0
2024-04-12,42.88,42.88,41.31,41.34,154124.0
2024-04-15,41.95,42.39,41.24,42.39,6132.0
2024-04-16,42.31,42.94,41.3,42.68,4317.0
2024-04-17,42.92,43.49,41.92,41.99,5827.0
2024-04-18,41.88,42.33,41.66,41.88,4476.0
2024-04-19,42.03,42.79,41.76,42.79,6080.0
2024-04-22,42.5,43.41,42.5,42.83,166004.0
2024-04-23,42.94,43.5,42.55,43.5,138875.0
2024-04-24,43.47,43.77,42.91,43.77,2634.0
2024-04-25,43.01,43.225,42.47,42.56,4384.0
2024-04-26,42.44,43.09,42.44,42.92,7940.0
2024-04-29,43.06,44.15,42.79,44.15,3903.0
2024-04-30,43.94,44.37,43.0,43.23,19697.0
2024-05-01,43.04,43.58,42.83,43.4,2095.0
2024-05-02,44.49,44.49,43.08,44.3,3835.0
2024-05-03,44.91,45.95,44.83,45.6,23108.0
2024-05-06,45.75,46.1,45.75,45.905,17754.0
2024-05-07,45.85,45.85,45.54,45.54,485006.0
2024-05-08,45.88,46.09,45.455,45.73,5843.0
2024-05-09,45.81,46.25,45.81,46.25,5556.0
2024-05-13,45.63,45.76,45.35,45.35,767.0
2024-05-14,45.57,45.6203,45.56,45.56,847.0
2024-05-15,45.82,46.48,45.79,46.35,106611.0
2024-05-16,45.851,45.851,45.85,45.8501,1016.0
2024-05-17,45.73,45.93,45.73,45.93,11221.0
2024-05-20,47.0,47.0,46.07,46.08,1733.0
2024-05-21,45.4,45.4,45.4,45.4,1694.0
2024-05-22,45.42,46.79,45.42,45.96,9174.0
2024-05-23,44.01,45.75,44.01,45.66,2385.0
2024-05-29,45.66,45.72,45.66,45.72,813.0
2024-05-30,46.0,46.0,46.0,46.0,494.0
2024-05-31,45.47,46.245,45.07,46.11,78812.0
2024-06-03,46.86,46.86,46.15,46.38,1663.0
2024-06-04,46.385,46.44,46.385,46.44,1304.0
2024-06-05,46.525,46.72,46.525,46.61,2692.0
2024-06-06,46.86,48.34,43.8,46.42,108305.0
2024-06-07,45.42,45.42,44.26,44.86,3537.0
2024-06-10,44.95,45.21,44.95,45.21,274.0
2024-06-11,44.79,44.8,44.48,44.51,2632.0
2024-06-12,44.98,44.98,44.535,44.535,2349.0
2024-06-13,43.87,43.87,43.251,43.87,1724.0
2024-06-14,43.42,43.42,43.42,43.42,251.0
2024-06-18,43.64,43.7,43.64,43.64,1751.0
2024-06-20,43.33,43.33,43.33,43.33,264.0
2024-06-21,43.87,43.87,43.87,43.87,233.0
2024-06-24,44.03,44.48,44.03,44.48,1184.0
