Date,Open,High,Low,Close,Volume
2025-05-21,4.0,9.79,3.75,4.68,7904736.0
2025-05-22,4.68,5.75,4.45,4.7941,1231476.0
2025-05-23,4.7,5.2,4.6,4.79,320050.0
2025-05-27,4.8,7.39,4.7002,5.1,4784248.0
2025-05-28,5.21,5.4878,4.9,5.15,1566100.0
2025-05-29,5.25,5.3,4.9001,5.2,684039.0
2025-05-30,5.2,5.2,4.33,4.82,1476746.0
2025-06-02,5.0,5.3,4.752,5.26,1202413.0
2025-06-03,5.37,5.8,4.8,5.06,4512310.0
2025-06-04,5.2,5.45,4.44,4.47,2354596.0
2025-06-05,4.25,4.6991,2.37,2.77,1249680.0
2025-06-06,2.8,2.99,2.38,2.38,4231191.0
2025-06-09,2.201,2.31,1.8,1.99,1025573.0
2025-06-10,1.79,2.21,1.79,2.14,660669.0
2025-06-11,2.02,2.22,2.02,2.19,255941.0
2025-06-12,2.14,2.2,1.81,1.97,316017.0
2025-06-13,1.92,1.97,1.52,1.55,312685.0
2025-06-16,1.56,1.63,1.09,1.24,1091705.0
2025-06-17,1.2,1.44,1.15,1.37,500967.0
2025-06-18,1.37,1.51,1.355,1.38,326580.0
2025-06-20,1.43,1.75,1.4001,1.75,1203210.0
2025-06-23,1.67,1.734,1.5501,1.6,240823.0
2025-06-24,1.6,1.665,1.53,1.57,220590.0
2025-06-25,1.53,1.9494,1.53,1.82,480597.0
2025-06-26,1.72,1.905,1.72,1.76,195996.0
2025-06-27,1.8,1.8687,1.65,1.8,483563.0
2025-06-30,1.88,1.88,1.69,1.76,122165.0
2025-07-01,1.72,1.75,1.65,1.675,117266.0
2025-07-02,1.69,2.06,1.69,2.05,475805.0
2025-07-03,2.05,2.12,2.02,2.06,149430.0
2025-07-07,2.09,2.5132,1.97,1.97,516826.0
2025-07-08,2.02,2.0943,1.76,2.0,330198.0
2025-07-09,2.0,2.1,1.86,2.09,426967.0
2025-07-10,1.97,2.09,1.9,2.03,171488.0
2025-07-11,2.12,2.76,2.075,2.735,665693.0
2025-07-14,2.63,3.37,2.63,3.32,721862.0
2025-07-15,2.72,3.1469,1.9,2.21,1871083.0
2025-07-16,2.27,2.5499,1.98,1.99,504204.0
2025-07-17,1.96,1.98,1.71,1.96,717505.0
