Date,Open,High,Low,Close,Volume
2024-10-24,0.12,0.13,0.12,0.13,776000
2024-10-28,0.11,0.12,0.11,0.11,250951
2024-10-31,0.11,0.113,0.11,0.1125,109512
2024-11-05,0.1201,0.1201,0.1201,0.1201,51678
2024-11-18,0.126,0.126,0.126,0.126,400
2024-11-19,0.1352,0.1352,0.1201,0.128551,19000
2024-11-21,0.126,0.126,0.12,0.1201,210648
2024-11-22,0.12,0.12,0.12,0.12,3700
2024-11-27,0.124,0.124,0.12,0.12,1000
2024-12-02,0.12,0.121,0.12,0.1201,150916
2024-12-09,0.12,0.12,0.12,0.12,449
2025-01-02,0.12,0.12,0.12,0.12,16656
2025-01-31,0.12,0.12,0.12,0.12,989
2025-02-06,0.1211,0.1211,0.1211,0.1211,452
2025-02-07,0.1148,0.13,0.1147,0.1151,17925
2025-02-10,0.13,0.13,0.1255,0.13,26300
2025-02-27,0.16,0.33,0.131,0.16,630152
2025-02-28,0.165,0.4,0.13,0.13,301446
2025-03-03,0.138,0.155,0.13,0.1545,6458
2025-03-06,0.17,0.1701,0.17,0.17,1141
2025-03-12,0.1488,0.1488,0.1488,0.1488,200
2025-03-13,0.12001,0.141,0.12001,0.141,385
2025-03-17,0.18,0.18,0.14,0.14,9864
2025-03-24,0.155,0.155,0.155,0.155,403
2025-04-01,0.1421,0.1421,0.1421,0.1421,100
2025-04-03,0.142,0.1421,0.142,0.1421,6944
2025-04-04,0.1403,0.1403,0.1176,0.14,47686
2025-04-10,0.1242,0.14,0.1242,0.14,554
2025-04-11,0.14,0.14,0.14,0.14,150
2025-04-14,0.15,0.15,0.1425,0.145,20910
2025-04-16,0.14,0.15425,0.14,0.14,5100
2025-04-17,0.14,0.17,0.14,0.17,520
2025-04-28,0.146,0.146,0.146,0.146,200
2025-04-29,0.14,0.14,0.14,0.14,200
2025-04-30,0.158,0.158,0.158,0.158,200
2025-05-02,0.1401,0.17,0.1401,0.17,408
2025-05-08,0.16,0.16,0.146,0.146,380
2025-05-16,0.161,0.161,0.15,0.15,1625
2025-05-19,0.151,0.17,0.151,0.17,1573
2025-05-20,0.1981,0.1981,0.17,0.17,673
2025-05-27,0.17,0.17,0.17,0.17,144
2025-05-28,0.15,0.17,0.15,0.17,200
2025-05-30,0.17,0.17,0.17,0.17,110
2025-06-04,0.151,0.17,0.1329,0.1329,4200
2025-06-06,0.17,0.17,0.14,0.14,1156
2025-06-13,0.17,0.17,0.17,0.17,520
2025-06-16,0.17,0.17,0.17,0.17,1117
2025-06-17,0.15,0.155,0.15,0.155,551
2025-06-20,0.1301,0.1301,0.1301,0.1301,500
2025-06-23,0.14,0.14,0.14,0.14,28941
2025-06-27,0.14,0.14,0.14,0.14,300
2025-07-01,0.16,0.16,0.16,0.16,1646
2025-07-02,0.149999,0.16,0.13505,0.16,225186
2025-07-08,0.1447,0.145,0.14,0.14,3441
2025-07-14,0.2318,0.2318,0.18,0.181901,17779
2025-07-15,0.2047,0.22,0.17,0.22,13148
2025-07-16,0.2,0.2,0.176,0.178,1296
