Date,Open,High,Low,Close,Volume
2023-07-19,9.27,9.5477,8.2,8.47,31645707.0
2023-07-20,8.54,8.71,8.175,8.71,12964859.0
2023-07-21,8.73,8.7484,8.14,8.26,8548118.0
2023-07-24,8.1,8.33,8.03,8.21,5902426.0
2023-07-25,8.21,8.3,8.01,8.27,5535183.0
2023-07-26,8.21,8.34,7.96,7.99,6318817.0
2023-07-27,8.18,8.32,7.76,7.79,7260869.0
2023-07-28,7.87,8.18,7.795,8.15,6063347.0
2023-07-31,8.29,8.985,8.23,8.95,11979346.0
2023-08-01,8.58,8.94,8.53,8.75,6308127.0
2023-08-02,8.31,8.36,7.94,8.29,9232516.0
2023-08-03,7.93,8.405,7.66,8.24,8380424.0
2023-08-04,8.3,8.42,7.925,8.16,4814499.0
2023-08-07,8.18,8.2999,7.87,8.12,5755619.0
2023-08-08,7.92,8.28,7.9,8.28,5339329.0
2023-08-09,8.32,8.32,7.83,7.92,4740689.0
2023-08-10,8.04,8.235,7.84,7.89,5233950.0
2023-08-11,7.79,7.87,7.57,7.67,6330976.0
2023-08-14,7.58,7.82,7.47,7.69,4931307.0
2023-08-15,7.57,7.77,7.49,7.5,4465732.0
2023-08-16,7.45,7.635,7.27,7.27,4859994.0
2023-08-17,7.3,7.4,6.96,7.03,6109169.0
2023-08-18,6.85,7.21,6.81,7.12,5824958.0
2023-08-21,7.13,7.25,6.98,7.1,4027873.0
2023-08-22,7.27,7.295,6.97,7.06,3557485.0
2023-08-23,7.08,7.41,7.03,7.31,3168346.0
2023-08-24,7.35,7.37,6.94,6.97,3873818.0
2023-08-25,7.0,7.09,6.8,6.91,3364703.0
2023-08-28,7.05,7.275,7.0,7.22,3230339.0
2023-08-29,7.16,7.525,7.09,7.47,4080388.0
2023-08-30,7.41,7.53,7.25,7.43,3382309.0
2023-08-31,7.48,7.56,7.33,7.45,3684392.0
2023-09-01,7.51,7.52,7.3,7.33,2946414.0
2023-09-05,7.27,7.51,7.18,7.41,3475127.0
2023-09-06,7.38,7.44,7.19,7.31,3219623.0
2023-09-07,7.17,7.37,7.01,7.25,3142623.0
2023-09-08,7.25,7.355,7.19,7.3,2969145.0
2023-09-11,7.39,7.47,7.27,7.28,3526606.0
2023-09-12,7.2,7.31,6.98,6.99,3565644.0
2023-09-13,6.96,7.045,6.87,6.88,4684693.0
2023-09-14,6.9,7.0,6.78,6.94,4972062.0
2023-09-15,6.85,6.915,6.45,6.54,12290300.0
2023-09-18,6.72,7.05,6.55,6.83,10071300.0
2023-09-19,6.69,6.88,6.61,6.77,4860199.0
2023-09-20,6.83,6.9682,6.59,6.62,3020005.0
2023-09-21,6.41,6.495,6.22,6.26,4984861.0
2023-09-22,6.38,6.49,6.175,6.22,4331294.0
2023-09-25,6.5,6.83,6.35,6.48,13567076.0
2023-09-26,6.33,6.555,6.16,6.21,7364842.0
2023-09-27,6.29,6.565,6.27,6.47,6288552.0
2023-09-28,6.47,6.55,6.35,6.41,4078112.0
2023-09-29,6.58,6.69,6.37,6.45,4057915.0
2023-10-02,6.4,6.5,6.1,6.19,4391926.0
2023-10-03,6.09,6.22,6.025,6.13,4664040.0
