Date,Open,High,Low,Close,Volume
2024-08-09,9.965,9.98,9.965,9.98,714.0
2024-08-12,9.96,9.98,9.96,9.97,1434907.0
2024-08-13,9.98,9.98,9.98,9.98,2881.0
2024-08-14,9.98,9.98,9.98,9.98,44226.0
2024-08-15,9.98,10.0,9.98,9.99,909343.0
2024-08-16,9.98,10.2,9.975,10.0,445364.0
2024-08-19,9.98,9.98,9.98,9.98,2659.0
2024-08-20,9.98,10.0,9.98,10.0,416032.0
2024-08-21,10.0,10.0,9.99,10.0,89427.0
2024-08-22,9.98,9.99,9.98,9.99,1373.0
2024-08-23,10.0,10.0,9.98,9.99,11826.0
2024-08-26,10.01,10.01,9.98,9.98,766706.0
2024-08-27,10.03,10.03,9.98,9.99,101640.0
2024-08-28,10.0,10.1,10.0,10.0,57891.0
2024-08-29,10.3265,10.475,9.98,10.01,60500.0
2024-08-30,10.455,10.455,10.01,10.01,40418.0
2024-09-04,10.01,10.03,10.0,10.005,38112.0
2024-09-05,10.02,10.055,10.01,10.01,26499.0
2024-09-06,10.02,10.02,9.99,9.99,51751.0
2024-09-09,10.01,10.02,10.0,10.01,47396.0
2024-09-10,10.01,10.02,10.01,10.01,30194.0
2024-09-11,10.01,10.01,9.99,10.01,38529.0
2024-09-12,10.01,10.01,10.01,10.01,15040.0
2024-09-13,10.01,10.01,10.01,10.01,157997.0
2024-09-16,9.99,10.0,9.98,9.99,32452.0
2024-09-18,9.99,9.9954,9.99,9.9954,10692.0
2024-09-19,10.019,10.019,10.005,10.005,8938.0
2024-09-20,10.0,10.0,9.99,9.99,9211.0
2024-09-24,10.035,10.035,9.99,10.0102,10120.0
2024-09-25,10.01,10.01,10.0,10.01,105481.0
2024-09-26,10.04,10.05,10.0057,10.01,29156.0
2024-09-30,10.0147,10.0147,10.0,10.0,1697.0
2024-10-01,10.02,10.02,10.02,10.02,4325.0
2024-10-02,10.0,10.005,10.0,10.005,11826.0
2024-10-03,10.01,10.015,10.01,10.015,2105.0
2024-10-04,10.02,10.02,10.0105,10.012,528166.0
2024-10-08,10.02,10.02,10.01,10.02,11421.0
2024-10-09,10.01,10.03,10.01,10.02,230682.0
2024-10-10,10.49,10.49,10.0101,10.02,255077.0
2024-10-11,10.0201,10.0201,10.01,10.01,529.0
2024-10-15,10.01,10.0101,10.01,10.01,38734.0
2024-10-16,10.01,10.01,10.01,10.01,2025.0
2024-10-17,10.01,10.01,10.01,10.01,3002.0
2024-10-18,10.01,10.01,10.01,10.01,7422.0
2024-10-21,10.01,10.0107,10.01,10.01,257116.0
2024-10-22,10.015,10.015,10.01,10.01,3300.0
